,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY
0,1,1,Brooks Koepka,9,30.54,"$4,034,417","$13,208,800"
1,2,2,Dustin Johnson,12,29.37,"$5,599,751","$19,064,000"
2,3,3,Justin Rose,12,26.82,"$5,007,302","$18,670,800"
3,4,4,Justin Thomas,16,24.58,"$5,858,980","$23,831,800"
4,5,5,Bubba Watson,15,22.43,"$5,000,485","$22,292,800"
5,6,6,Jason Day,13,21.1,"$4,347,887","$20,605,800"
6,7,7,Bryson DeChambeau,18,17.42,"$4,462,598","$25,614,000"
7,8,8,Phil Mickelson,16,16.48,"$3,939,970","$23,906,000"
8,9,9,Paul Casey,13,16.15,"$3,194,619","$19,775,000"
9,10,10,Patrick Reed,19,15.88,"$4,486,124","$28,245,800"
10,11,11,Jon Rahm,13,15.64,"$3,070,167","$19,632,800"
11,12,12,Webb Simpson,17,15.53,"$3,708,917","$23,884,000"
12,13,13,Tommy Fleetwood,11,15.48,"$2,738,680","$17,688,800"
13,14,14,Henrik Stenson,10,15.43,"$2,412,646","$15,638,800"
14,15,16,Chase Seiffert,1,15.0,"$189,000","$1,260,000"
15,16,15,Rickie Fowler,15,14.91,"$3,344,196","$22,436,000"
16,17,17,Rory McIlroy,12,14.2,"$2,649,063","$18,656,000"
17,18,18,Alex Noren,12,12.6,"$2,411,125","$19,136,000"
18,19,19,Patrick Cantlay,16,12.44,"$2,975,538","$23,916,800"
19,20,21,Tony Finau,19,11.97,"$3,318,222","$27,723,800"
20,21,22,Ian Poulter,13,11.95,"$2,324,927","$19,449,800"
21,22,20,Marc Leishman,18,11.9,"$3,253,720","$27,335,000"
22,23,23,Patton Kizzire,20,11.86,"$3,209,700","$27,070,000"
23,24,T27,Tiger Woods,11,10.77,"$1,817,712","$16,884,000"
24,25,24,Pat Perez,17,10.57,"$2,701,828","$25,563,800"
25,26,25,Brendan Steele,15,10.23,"$2,189,547","$21,410,800"
26,27,T27,Andrew Landry,20,9.95,"$2,468,417","$24,796,800"
27,28,26,Brian Harman,18,9.73,"$2,585,430","$26,561,000"
28,29,128,Francesco Molinari,13,9.67,"$1,976,279","$20,432,000"
29,30,29,Aaron Wise,21,9.59,"$2,563,641","$26,740,800"
30,31,32,Chesson Hadley,23,9.03,"$2,701,522","$29,908,800"
31,32,31,Scott Strohmeyer,2,8.9,"$177,733","$1,998,000"
32,33,33,Cameron Smith,17,8.71,"$2,158,879","$24,795,800"
33,34,30,Kyle Stanley,18,8.64,"$2,365,361","$27,389,000"
34,35,34,Sam Horsfield,1,8.61,"$137,950","$1,602,000"
35,36,36,Jordan Spieth,17,8.4,"$2,080,394","$24,758,800"
36,37,37,Xander Schauffele,19,8.39,"$2,357,789","$28,109,000"
37,38,35,Jimmy Walker,17,8.19,"$1,920,918","$23,446,800"
38,39,38,Emiliano Grillo,19,8.17,"$2,077,660","$25,417,800"
39,40,39,Luke List,23,8.09,"$2,534,208","$31,319,000"
40,41,40,Rafa Cabrera Bello,13,8.08,"$1,632,868","$20,217,800"
41,42,42,Chez Reavie,21,7.97,"$2,370,611","$29,739,800"
42,43,50,Beau Hossler,23,7.89,"$2,313,685","$29,322,000"
43,44,44,Kevin Kisner,17,7.69,"$1,898,668","$24,704,800"
44,T45,T45,Satoshi Kodaira,12,7.68,"$1,456,895","$18,970,000"
45,T45,T45,Louis Oosthuizen,12,7.68,"$1,442,707","$18,782,800"
46,47,41,Byeong Hun An,17,7.65,"$1,804,373","$23,581,800"
47,48,43,Gary Woodland,19,7.56,"$2,081,964","$27,539,800"
48,49,47,Tyrrell Hatton,10,7.55,"$1,251,078","$16,562,000"
49,50,T48,Joaquin Niemann,8,7.44,"$834,461","$11,214,000"
50,51,T48,Scott Piercy,19,7.43,"$1,804,049","$24,292,800"
51,52,51,Billy Horschel,19,7.34,"$1,877,437","$25,588,800"
52,53,52,Tyler McCumber,1,7.22,"$39,000","$540,000"
53,54,94,Ryan Armour,24,7.14,"$2,155,869","$30,178,800"
54,T55,T53,Austin Cook,21,7.02,"$1,929,135","$27,468,000"
55,T55,T53,Ryan Moore,15,7.02,"$1,450,180","$20,646,000"
56,57,56,Hideki Matsuyama,13,6.9,"$1,410,798","$20,460,000"
57,58,57,Adam Bland,1,6.74,"$114,500","$1,700,000"
58,59,59,Keegan Bradley,19,6.66,"$1,756,795","$26,397,800"
59,60,60,Daisuke Kataoka,2,6.61,"$183,362","$2,776,000"
60,61,61,Branden Grace,13,6.58,"$1,374,678","$20,891,000"
61,62,62,Charles Howell III,22,6.57,"$2,024,405","$30,801,000"
62,63,55,Kiradech Aphibarnrat,11,6.53,"$1,177,245","$18,038,000"
63,64,63,Charl Schwartzel,16,6.51,"$1,602,147","$24,591,800"
64,65,58,Kevin Na,18,6.43,"$1,561,480","$24,273,800"
65,66,66,J.J. Spaun,20,6.25,"$1,548,644","$24,796,800"
66,T67,67,Graham DeLaet,3,6.23,"$251,630","$4,041,000"
67,T67,64,Si Woo Kim,22,6.23,"$1,960,647","$31,467,000"
68,69,65,J.B. Holmes,19,6.13,"$1,560,987","$25,453,800"
69,70,70,Paul Dunne,5,6.1,"$396,187","$6,492,000"
70,71,69,"Ted Potter, Jr.",22,6.07,"$1,800,457","$29,646,000"
71,72,71,Alex Kang,2,6.02,"$150,733","$2,502,000"
72,73,68,Andrew Putnam,20,6.01,"$1,388,029","$23,086,800"
73,74,77,Brian Gay,22,6.0,"$1,708,650","$28,468,800"
74,T75,T72,Jason Dufner,17,5.99,"$1,458,193","$24,344,800"
75,T75,T72,Seungsu Han,2,5.99,"$107,770","$1,800,000"
76,77,74,Zach Johnson,18,5.85,"$1,464,805","$25,020,800"
77,78,75,Peter Uihlein,20,5.76,"$1,574,177","$27,318,800"
78,79,76,Chris Kirk,21,5.59,"$1,481,796","$26,515,800"
79,80,78,Chris Paisley,4,5.53,"$289,900","$5,238,800"
80,T81,T79,Ashun Wu,1,5.44,"$90,250","$1,660,000"
81,T81,T79,Hideto Tanihara,1,5.44,"$90,250","$1,660,000"
82,83,82,Jorge Campillo,1,5.35,"$91,000","$1,700,000"
83,T84,81,Adam Hadwin,19,5.22,"$1,470,857","$28,181,000"
84,T84,T100,Ryan Palmer,16,5.22,"$1,044,845","$20,008,800"
85,86,83,Bernd Wiesberger,5,5.21,"$428,632","$8,228,000"
86,87,84,Daniel Berger,17,5.14,"$1,289,197","$25,077,800"
87,88,T85,Matt Kuchar,18,5.05,"$1,324,997","$26,220,800"
88,89,88,Sergio Garcia,10,4.97,"$766,703","$15,416,800"
89,90,90,Russell Henley,17,4.95,"$1,274,614","$25,769,000"
90,91,87,Kevin Streelman,21,4.93,"$1,322,462","$26,820,000"
91,T92,T92,Matthew Fitzpatrick,9,4.9,"$742,883","$15,158,000"
92,T92,T92,John Oda,4,4.9,"$232,810","$4,752,000"
93,94,T85,James Hahn,20,4.87,"$1,330,100","$27,287,000"
94,95,95,Stewart Cink,20,4.82,"$1,268,748","$26,325,000"
95,96,96,Hyun-woo Ryu,1,4.79,"$79,500","$1,660,000"
96,97,104,Anirban Lahiri,18,4.71,"$1,154,359","$24,489,000"
97,98,98,Sean O'Hair,17,4.7,"$1,032,862","$21,988,800"
98,T99,91,Keith Mitchell,22,4.69,"$1,252,453","$26,686,800"
99,T99,89,Trey Mullinax,19,4.69,"$1,119,674","$23,860,800"
100,101,97,Jamie Lovemark,20,4.59,"$1,199,769","$26,155,800"
101,102,102,Kevin Chappell,17,4.46,"$1,111,890","$24,928,000"
102,103,99,Nick Watney,19,4.43,"$1,074,547","$24,256,800"
103,104,103,Russell Knox,22,4.42,"$1,287,491","$29,116,800"
104,105,106,Steve Stricker,9,4.35,"$549,838","$12,646,800"
105,106,T100,Whee Kim,22,4.32,"$1,232,996","$28,531,800"
106,107,105,Alex Cejka,19,4.31,"$1,022,856","$23,716,800"
107,108,107,Joost Luiten,1,4.29,"$73,000","$1,700,000"
108,109,109,David Lipsky,3,4.22,"$194,950","$4,620,000"
109,T110,T110,Brice Garnett,23,4.19,"$1,164,265","$27,766,800"
110,T110,T110,Adam Scott,15,4.19,"$955,712","$22,801,000"
111,T112,T113,A.J. McInerney,3,4.11,"$164,923","$4,014,000"
112,T112,112,J.T. Poston,16,4.11,"$760,914","$18,496,800"
113,T114,115,Bud Cauley,17,4.02,"$900,590","$22,429,800"
114,T114,108,Martin Laird,18,4.02,"$932,694","$23,212,800"
115,T116,T117,Oscar Fraustro,1,3.98,"$50,804","$1,278,000"
116,T116,T117,Grayson Murray,20,3.98,"$1,056,628","$26,541,000"
117,T118,T113,Tom Hoge,25,3.95,"$1,237,288","$31,348,800"
118,T118,116,Ollie Schniederjans,20,3.95,"$1,078,038","$27,279,000"
119,120,119,Charley Hoffman,19,3.94,"$1,079,865","$27,404,800"
120,121,148,Abraham Ancer,23,3.92,"$1,081,405","$27,612,800"
121,T122,T120,Haydn Porteous,1,3.89,"$64,500","$1,660,000"
122,T122,T120,Richard Sterne,1,3.89,"$64,500","$1,660,000"
123,124,191,Sung Kang,24,3.81,"$1,188,069","$31,213,800"
124,T125,T122,K.T. Kim,1,3.78,"$62,900","$1,665,000"
125,T125,T122,Julian Suri,7,3.78,"$359,097","$9,494,000"
126,127,125,Wade Ormsby,1,3.74,"$63,500","$1,700,000"
127,128,T166,Dylan Meyer,4,3.72,"$218,473","$5,868,000"
128,129,127,Matthieu Pavon,1,3.67,"$79,200","$2,160,000"
129,130,124,Patrick Rodgers,25,3.65,"$1,208,244","$33,093,000"
130,131,T129,Vaughn Taylor,19,3.58,"$843,037","$23,544,000"
131,132,126,Rory Sabbatini,22,3.53,"$963,657","$27,298,800"
132,133,132,Poom Saksansin,2,3.49,"$101,900","$2,920,000"
133,T134,T151,Ben Crane,16,3.42,"$620,646","$18,154,800"
134,T134,131,Kevin Tway,25,3.42,"$1,085,004","$31,753,800"
135,136,T129,Jason Kokrak,21,3.41,"$910,537","$26,694,000"
136,137,133,Sam Burns,11,3.38,"$495,916","$14,662,800"
137,138,135,Ryan Blaum,22,3.31,"$898,740","$27,172,800"
138,139,134,Brandon Harkins,24,3.29,"$992,395","$30,160,800"
139,140,138,Lucas Glover,18,3.14,"$789,381","$25,133,800"
140,141,140,Jerry Kelly,3,3.11,"$108,500","$3,484,800"
141,142,141,Brett Rumford,1,3.09,"$52,500","$1,700,000"
142,143,136,Danny Lee,23,3.05,"$910,436","$29,827,800"
143,144,137,Martin Piller,22,3.01,"$820,499","$27,270,000"
144,T145,T142,Thomas Pieters,9,3.0,"$411,371","$13,709,000"
145,T145,T142,Jhonattan Vegas,20,3.0,"$879,510","$29,333,000"
146,147,139,Scott Stallings,23,2.99,"$888,118","$29,656,800"
147,T148,T144,SSP Chawrasia,2,2.95,"$86,280","$2,920,000"
148,T148,T144,Phachara Khongwatmai,2,2.95,"$86,200","$2,920,000"
149,150,147,Retief Goosen,16,2.93,"$537,543","$18,316,800"
150,T151,T149,Chan Kim,1,2.91,"$48,250","$1,660,000"
151,T151,T149,Jordan L Smith,1,2.91,"$48,250","$1,660,000"
