,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
0,1,1,Justin Thomas,16,"$5,858,980",2.0
1,2,2,Dustin Johnson,12,"$5,599,752",2.0
2,3,3,Justin Rose,12,"$5,007,303",2.0
3,4,4,Bubba Watson,15,"$5,000,485",3.0
4,5,5,Patrick Reed,19,"$4,486,125",1.0
5,6,6,Bryson DeChambeau,18,"$4,462,598",1.0
6,7,7,Jason Day,13,"$4,347,887",2.0
7,8,8,Brooks Koepka,9,"$4,034,417",1.0
8,9,9,Phil Mickelson,16,"$3,939,971",1.0
9,10,10,Webb Simpson,17,"$3,708,918",1.0
10,11,14,Rickie Fowler,15,"$3,344,197",
11,12,11,Tony Finau,19,"$3,318,222",
12,13,15,Marc Leishman,18,"$3,253,721",
13,14,12,Patton Kizzire,20,"$3,209,701",2.0
14,15,13,Paul Casey,13,"$3,194,620",1.0
15,16,16,Jon Rahm,13,"$3,070,168",1.0
16,17,17,Patrick Cantlay,16,"$2,975,539",1.0
17,18,18,Tommy Fleetwood,11,"$2,738,680",
18,19,19,Pat Perez,17,"$2,701,828",1.0
19,20,24,Chesson Hadley,23,"$2,701,522",
20,21,20,Rory McIlroy,12,"$2,649,063",1.0
21,22,21,Brian Harman,18,"$2,585,430",
22,23,22,Aaron Wise,21,"$2,563,642",1.0
23,24,23,Luke List,23,"$2,534,209",
24,25,31,Andrew Landry,20,"$2,468,417",1.0
25,26,25,Henrik Stenson,10,"$2,412,647",
26,27,26,Alex Noren,12,"$2,411,126",
27,28,27,Chez Reavie,21,"$2,370,611",
28,29,29,Kyle Stanley,18,"$2,365,361",
29,30,28,Xander Schauffele,19,"$2,357,790",
30,31,30,Ian Poulter,13,"$2,324,927",1.0
31,32,36,Beau Hossler,23,"$2,313,686",
32,33,32,Brendan Steele,15,"$2,189,548",1.0
33,34,33,Cameron Smith,17,"$2,158,880",
34,35,63,Ryan Armour,24,"$2,155,869",1.0
35,36,37,Gary Woodland,19,"$2,081,964",1.0
36,37,34,Jordan Spieth,17,"$2,080,394",
37,38,35,Emiliano Grillo,19,"$2,077,661",
38,39,40,Charles Howell III,22,"$2,024,406",
39,40,114,Francesco Molinari,13,"$1,976,279",1.0
40,41,38,Si Woo Kim,22,"$1,960,648",
41,42,39,Austin Cook,21,"$1,929,136",1.0
42,43,41,Jimmy Walker,17,"$1,920,919",
43,44,42,Kevin Kisner,17,"$1,898,669",
44,45,44,Billy Horschel,19,"$1,877,438",1.0
45,46,54,Tiger Woods,11,"$1,817,712",
46,47,45,Byeong Hun An,17,"$1,804,374",
47,48,43,Scott Piercy,19,"$1,804,049",1.0
48,49,47,"Ted Potter, Jr.",22,"$1,800,458",1.0
49,50,46,Keegan Bradley,19,"$1,756,795",
50,51,53,Brian Gay,22,"$1,708,651",
51,52,48,Rafa Cabrera Bello,13,"$1,632,869",
52,53,49,Charl Schwartzel,16,"$1,602,147",
53,54,50,Peter Uihlein,20,"$1,574,178",
54,55,52,Kevin Na,18,"$1,561,480",
55,56,51,J.B. Holmes,19,"$1,560,988",
56,57,55,J.J. Spaun,20,"$1,548,645",
57,58,56,Chris Kirk,21,"$1,481,797",
58,59,59,Adam Hadwin,19,"$1,470,858",
59,60,57,Zach Johnson,18,"$1,464,805",
60,61,58,Jason Dufner,17,"$1,458,194",
61,62,60,Ryan Moore,15,"$1,450,181",
62,63,61,Louis Oosthuizen,12,"$1,442,707",
63,64,62,Hideki Matsuyama,13,"$1,410,799",
64,65,66,Andrew Putnam,20,"$1,388,029",
65,66,64,Branden Grace,13,"$1,374,679",
