,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
0,1,1,Dustin Johnson,47,68.602,3026,- 7.500,44
1,2,2,Justin Rose,48,69.165,3055,- 11.720,44
2,3,3,Henrik Stenson,38,69.296,2371,- 14.920,34
3,4,4,Justin Thomas,65,69.358,3892,- 7.968,56
4,5,5,Paul Casey,49,69.422,3216,- 22.600,46
5,6,6,Webb Simpson,59,69.469,3906,- 15.753,56
6,7,7,Tommy Fleetwood,41,69.495,2392,- 29.177,34
7,8,8,Brooks Koepka,34,69.517,2235,- 10.450,32
8,9,9,Jason Day,49,69.62899999999999,2939,- 14.576,42
9,10,10,Steve Stricker,32,69.631,2099,- 10.068,30
10,11,12,Rickie Fowler,54,69.686,3766,- 2.955,54
11,12,11,Rory McIlroy,40,69.722,2602,- 22.301,37
12,13,20,Tiger Woods,40,69.765,2816,- 25.403,40
13,14,13,Bryson DeChambeau,67,69.822,4684,- 5.923,67
14,15,14,Tony Finau,69,69.84,4351,- 20.917,62
15,16,15,Alex Noren,47,69.86,2825,- 30.593,40
16,17,16,Phil Mickelson,60,69.884,3992,- 8.640,57
17,18,17,Emiliano Grillo,72,69.955,4892,4.883,70
18,19,18,Jordan Spieth,57,69.962,3619,19.030,52
19,20,25,Chesson Hadley,82,69.986,5457,1.907,78
20,21,19,Patrick Reed,68,70.018,4220,- 18.938,60
21,22,21,Zach Johnson,68,70.032,4267,4.938,61
22,23,22,Rafa Cabrera Bello,47,70.04899999999999,2964,- 21.940,42
23,24,23,Jon Rahm,47,70.051,2933,9.127,42
24,25,24,Ryan Moore,52,70.08,3655,- 10.842,52
25,26,30,Charles Howell III,84,70.107,5609,- .405,80
26,27,26,Patrick Cantlay,59,70.111,3659,- 13.247,52
27,28,27,Louis Oosthuizen,42,70.118,2411,- 26.985,34
28,29,28,Brian Harman,68,70.126,4494,- 5.946,64
29,30,29,Luke List,78,70.145,5274,- 13.127,75
30,31,31,Byeong Hun An,58,70.22800000000001,3955,- 22.215,56
31,32,36,Brian Gay,73,70.252,4986,1.882,71
32,33,82,Francesco Molinari,47,70.26100000000001,3113,- 21.526,44
33,34,37,Marc Leishman,65,70.278,4357,.225,62
34,35,32,Bubba Watson,60,70.285,3436,7.943,49
35,36,33,Branden Grace,51,70.318,3385,- 9.718,48
36,37,34,Chris Kirk,76,70.32300000000001,5195,8.910,74
37,38,35,Chez Reavie,73,70.36,4636,7.750,66
38,39,39,Kevin Streelman,78,70.389,5471,19.339,78
39,40,38,Aaron Wise,64,70.432,4370,- 3.211,62
40,41,42,Gary Woodland,64,70.44,4178,- 22.066,59
41,42,40,Daniel Berger,61,70.44800000000001,3958,- 12.908,56
42,43,41,Charley Hoffman,65,70.45,4102,- 15.929,58
43,44,43,Vaughn Taylor,67,70.479,4706,16.067,67
44,45,T59,Beau Hossler,86,70.483,6032,29.575,86
45,46,51,Stewart Cink,69,70.485,4854,9.466,69
46,47,54,J.J. Spaun,59,70.49,4003,14.903,57
47,48,53,Andrew Putnam,68,70.49600000000001,4497,14.737,64
48,49,50,Kiradech Aphibarnrat,41,70.498,2560,- 22.066,36
49,50,44,Pat Perez,59,70.505,3675,- 8.742,52
50,51,45,Jimmy Walker,61,70.521,4036,- 16.322,57
51,52,47,Keegan Bradley,66,70.536,4309,- 6.283,61
52,53,48,Russell Knox,78,70.554,5209,12.011,74
53,54,49,Russell Henley,59,70.567,3964,- 12.228,56
54,T55,52,Matt Kuchar,68,70.585,4227,8.083,60
55,T55,65,Ollie Schniederjans,69,70.585,4881,- 10.655,69
56,57,55,William McGirt,60,70.595,4094,.513,58
57,58,56,Tyrrell Hatton,34,70.608,2145,- 26.757,30
58,59,57,Patton Kizzire,62,70.612,4145,21.102,59
59,60,58,Peter Uihlein,65,70.616,4238,- 1.049,60
60,61,T59,Ian Poulter,49,70.623,2841,- 16.099,40
61,62,61,Hideki Matsuyama,45,70.633,2971,- 4.413,42
62,63,T71,Kyle Stanley,65,70.634,4238,.027,60
63,64,80,Anirban Lahiri,64,70.643,4522,- .868,64
64,T65,T63,Austin Cook,75,70.655,5281,18.115,75
65,T65,T63,Brandt Snedeker,58,70.655,3962,- 5.293,56
66,67,66,Jim Furyk,34,70.661,2288,- 26.845,32
67,68,73,Brandon Harkins,83,70.667,5705,19.055,81
68,69,62,J.B. Holmes,63,70.67399999999999,4320,- 8.881,61
69,70,69,Scott Piercy,63,70.68,4166,4.097,59
70,71,46,Jamie Lovemark,70,70.689,4662,3.474,66
71,72,70,John Huh,80,70.714,5357,17.287,76
72,73,67,Rory Sabbatini,76,70.722,5209,24.391,74
73,74,T71,Cameron Smith,57,70.72399999999999,3540,- 3.825,50
74,75,75,Patrick Rodgers,81,70.735,5742,- 12.503,81
75,76,87,Alex Cejka,59,70.744,3879,11.894,55
76,77,74,Adam Scott,54,70.76100000000001,3842,- 20.887,54
77,78,T91,Joel Dahmen,69,70.762,4580,19.555,65
78,79,T91,C.T. Pan,76,70.764,5228,8.508,74
79,80,97,Ryan Armour,83,70.76899999999999,5697,35.283,81
80,81,76,Martin Laird,59,70.78,3876,16.920,55
81,82,78,Kevin Na,61,70.78699999999999,3941,23.057,56
82,83,88,Corey Conners,79,70.789,5437,13.752,77
83,84,81,Brendan Steele,54,70.796,3329,- 1.582,47
84,85,77,Jason Kokrak,69,70.8,4864,21.181,69
85,86,83,James Hahn,69,70.813,4655,18.659,66
86,87,96,J.T. Poston,55,70.82300000000001,3741,12.602,53
87,88,99,Troy Merritt,71,70.836,4737,9.043,67
88,89,84,Scott Stallings,72,70.842,4961,- 2.055,70
89,90,79,Trey Mullinax,59,70.85,3896,.774,55
90,91,85,Aaron Baddeley,68,70.851,4687,- 10.862,66
91,92,121,Ryan Palmer,48,70.87,3252,8.012,46
92,93,105,Billy Horschel,60,70.877,3967,2.124,56
93,94,109,Abraham Ancer,74,70.87899999999999,5089,14.257,72
94,95,89,Xander Schauffele,66,70.88,4471,- 5.574,63
95,96,95,Seamus Power,64,70.899,4241,12.942,60
96,97,122,Andrew Landry,56,70.914,3820,9.352,54
97,98,86,Sam Saunders,58,70.92399999999999,3962,9.764,56
98,99,128,Bronson Burgoon,47,70.925,3316,17.497,47
99,100,93,Tom Hoge,81,70.936,5448,14.074,77
100,101,90,Kevin Tway,86,70.94,5945,13.995,84
101,102,94,Peter Malnati,67,70.961,4607,5.467,65
102,T103,T112,Ryan Blaum,64,70.97399999999999,4388,12.373,62
103,T103,98,Ben Martin,64,70.97399999999999,4533,9.367,64
104,105,108,Adam Hadwin,72,70.998,4893,5.853,69
105,106,100,Nate Lashley,51,70.999,3318,18.976,47
106,107,101,Michael Thompson,44,71.02600000000001,3119,6.159,44
107,108,102,Nick Watney,68,71.028,4538,7.823,64
108,109,130,Ben Crane,55,71.035,3601,21.774,51
109,110,T103,Kevin Kisner,59,71.04899999999999,3399,11.337,48
110,111,T103,Bill Haas,61,71.054,4337,- 2.716,61
111,112,106,Shane Lowry,48,71.065,3142,- 15.159,44
