POS,Unnamed: 1,PLAYER,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,TEE TIME
T1,-,Scott PiercyS. Piercy,-1,-1,F,69,--,--,--,69,$0,0.0,-
T1,-,Ian PoulterI. Poulter,-1,-1,15,--,--,--,--,--,$0,0.0,-
T3,-,Matthieu PavonM. Pavon,+1,+1,F,71,--,--,--,71,$0,0.0,-
T3,-,Brendan SteeleB. Steele,+1,+1,17,--,--,--,--,--,$0,0.0,-
T3,-,Justin RoseJ. Rose,+1,+1,17,--,--,--,--,--,$0,0.0,-
T3,-,Patrick ReedP. Reed,+1,+1,14,--,--,--,--,--,$0,0.0,-
T3,-,Matthew FitzpatrickM. Fitzpatrick,+1,+1,13,--,--,--,--,--,$0,0.0,-
T3,-,Charley HoffmanC. Hoffman,+1,+1,13,--,--,--,--,--,$0,0.0,-
T3,-,Charles Howell IIIC. Howell III,+1,+1,13,--,--,--,--,--,$0,0.0,-
T3,-,Russell KnoxR. Knox,+1,+1,12,--,--,--,--,--,$0,0.0,-
T3,-,Luis GagneL. Gagne,+1,+1,11,--,--,--,--,--,$0,0.0,-
T3,-,Chris NaegelC. Naegel,+1,+1,11,--,--,--,--,--,$0,0.0,-
T3,-,Calum HillC. Hill,+1,+1,10,--,--,--,--,--,$0,0.0,-
T14,-,Eric AxleyE. Axley,+2,+2,17,--,--,--,--,--,$0,0.0,-
T14,-,Paul CaseyP. Casey,+2,+2,15,--,--,--,--,--,$0,0.0,-
T14,-,Zach JohnsonZ. Johnson,+2,+2,14,--,--,--,--,--,$0,0.0,-
T14,-,Marc LeishmanM. Leishman,+2,+2,13,--,--,--,--,--,$0,0.0,-
T14,-,Patrick RodgersP. Rodgers,+2,+2,12,--,--,--,--,--,$0,0.0,-
T14,-,Shubhankar SharmaS. Sharma,+2,+2,12,--,--,--,--,--,$0,0.0,-
T14,-,Dylan MeyerD. Meyer,+2,+2,11,--,--,--,--,--,$0,0.0,-
T14,-,Mickey DeMoratM. DeMorat,+2,+2,10,--,--,--,--,--,$0,0.0,-
T22,-,Aaron BaddeleyA. Baddeley,+3,+3,16,--,--,--,--,--,$0,0.0,-
T22,-,Daniel BergerD. Berger,+3,+3,13,--,--,--,--,--,$0,0.0,-
T22,-,Andrew JohnstonA. Johnston,+3,+3,13,--,--,--,--,--,$0,0.0,-
T22,-,Matt KucharM. Kuchar,+3,+3,13,--,--,--,--,--,$0,0.0,-
T22,-,Rickie FowlerR. Fowler,+3,+3,13,--,--,--,--,--,$0,0.0,-
T22,-,Thorbjorn OlesenT. Olesen,+3,+3,12,--,--,--,--,--,$0,0.0,-
T22,-,Cole MillerC. Miller,+3,+3,11,--,--,--,--,--,$0,0.0,-
T29,-,Matt ParzialeM. Parziale,+4,+4,F,74,--,--,--,74,$0,0.0,-
T29,-,Louis OosthuizenL. Oosthuizen,+4,+4,17,--,--,--,--,--,$0,0.0,-
T29,-,Hideki MatsuyamaH. Matsuyama,+4,+4,13,--,--,--,--,--,$0,0.0,-
T29,-,Bill HaasB. Haas,+4,+4,13,--,--,--,--,--,$0,0.0,-
T29,-,Lanto GriffinL. Griffin,+4,+4,12,--,--,--,--,--,$0,0.0,-
T29,-,Sung-jae ImS. Im,+4,+4,12,--,--,--,--,--,$0,0.0,-
T29,-,Tim WilkinsonT. Wilkinson,+4,+4,11,--,--,--,--,--,$0,0.0,-
T36,-,Jimmy WalkerJ. Walker,+5,+5,17,--,--,--,--,--,$0,0.0,-
T36,-,Mackenzie HughesM. Hughes,+5,+5,16,--,--,--,--,--,$0,0.0,-
T36,-,Patrick CantlayP. Cantlay,+5,+5,16,--,--,--,--,--,$0,0.0,-
T36,-,Brian HarmanB. Harman,+5,+5,16,--,--,--,--,--,$0,0.0,-
