,Pos,Name,Total,Thru,Today,R1,R2,R3,R4,S,Strokes,Earnings
0,1,Kevin Kisner,-5,18,-5,66,-,-,-,66,-,
1,2,Erik van Rooyen,-4,18,-4,67,-,-,-,67,-,
2,2,Zander Lombard,-4,9,-4,-,-,-,-,-,-,
3,4,Brandon Stone,-3,17,-3,-,-,-,-,-,-,
4,4,Pat Perez,-3,15,-3,-,-,-,-,-,-,
5,4,Jordan Spieth,-3,13,-3,-,-,-,-,-,-,
6,7,Matthew Southgate,-2,18,-2,69,-,-,-,69,-,
7,7,Danny Willett,-2,18,-2,69,-,-,-,69,-,
8,7,Sung Kang,-2,17,-2,-,-,-,-,-,-,
9,7,Tony Finau,-2,10,-2,-,-,-,-,-,-,
10,7,Ryan Moore,-2,4,-2,-,-,-,-,-,-,
11,12,Luke List,-1,18,-1,70,-,-,-,70,-,
12,12,Kevin Chappell,-1,18,-1,70,-,-,-,70,-,
13,12,Patrick Cantlay,-1,18,-1,70,-,-,-,70,-,
14,12,Thomas Pieters,-1,18,-1,70,-,-,-,70,-,
15,12,Yuta Ikeda,-1,18,-1,70,-,-,-,70,-,
16,12,Webb Simpson,-1,18,-1,70,-,-,-,70,-,
17,12,Matt Kuchar,-1,13,-1,-,-,-,-,-,-,
18,12,Jon Rahm,-1,12,-1,-,-,-,-,-,-,
19,12,Byeong Hun An,-1,4,-1,-,-,-,-,-,-,
20,12,Tommy Fleetwood,-1,3,-1,-,-,-,-,-,-,
21,12,Alex Noren,-1,1,-1,-,-,-,-,-,-,
22,23,Andy Sullivan,E,18,E,71,-,-,-,71,-,
23,23,Martin Kaymer,E,18,E,71,-,-,-,71,-,
24,23,Eddie Pepperell,E,18,E,71,-,-,-,71,-,
25,23,Paul Dunne,E,18,E,71,-,-,-,71,-,
26,23,Brian Harman,E,18,E,71,-,-,-,71,-,
27,23,Si Woo Kim,E,18,E,71,-,-,-,71,-,
28,23,Yusaku Miyazato,E,17,E,-,-,-,-,-,-,
29,23,Gary Woodland,E,17,E,-,-,-,-,-,-,
30,23,Chesson Hadley,E,16,E,-,-,-,-,-,-,
31,23,Kevin Na,E,14,E,-,-,-,-,-,-,
32,23,Bernhard Langer,E,14,E,-,-,-,-,-,-,
33,23,Justin Rose,E,13,E,-,-,-,-,-,-,
34,23,Rickie Fowler,E,12,E,-,-,-,-,-,-,
35,23,Chris Wood,E,12,E,-,-,-,-,-,-,
36,23,Louis Oosthuizen,E,11,E,-,-,-,-,-,-,
37,23,Xander Schauffele,E,11,E,-,-,-,-,-,-,
38,23,Alexander Bjork,E,10,E,-,-,-,-,-,-,
39,23,Rhys Enoch,E,8,E,-,-,-,-,-,-,
40,23,Brandt Snedeker,E,6,E,-,-,-,-,-,-,
41,23,Sam Locke,E,6,E,-,-,-,-,-,-,
42,23,Jonas Blixt,E,5,E,-,-,-,-,-,-,
43,23,Kelly Kraft,E,3,E,-,-,-,-,-,-,
44,23,Lee Westwood,E,4,E,-,-,-,-,-,-,
45,23,Henrik Stenson,E,3,E,-,-,-,-,-,-,
46,23,Matthew Fitzpatrick,E,2,E,-,-,-,-,-,-,
47,23,Russell Henley,E,2,E,-,-,-,-,-,-,
48,23,Thorbjorn Olesen,E,2,E,-,-,-,-,-,-,
49,23,Rory McIlroy,E,2,E,-,-,-,-,-,-,
50,23,Marc Leishman,E,1,E,-,-,-,-,-,-,
51,23,Dustin Johnson,E,1,E,-,-,-,-,-,-,
52,23,Charley Hoffman,E,1,E,-,-,-,-,-,-,
53,54,Austin Cook,1,18,1,72,-,-,-,72,-,
54,54,Satoshi Kodaira,1,18,1,72,-,-,-,72,-,
55,54,Nicolai Hojgaard,1,18,1,72,-,-,-,72,-,
56,54,Stewart Cink,1,17,1,-,-,-,-,-,-,
57,54,Sang-Hyun Park,1,10,1,-,-,-,-,-,-,
58,54,James Robinson,1,9,1,-,-,-,-,-,-,
59,54,Marcus Armitage,1,8,1,-,-,-,-,-,-,
60,54,Gavin Green,1,7,1,-,-,-,-,-,-,
61,54,Sean Crocker,1,7,1,-,-,-,-,-,-,
62,54,Cameron Davis,1,6,1,-,-,-,-,-,-,
63,54,Charles Howell III,1,5,1,-,-,-,-,-,-,
64,54,Charl Schwartzel,1,5,1,-,-,-,-,-,-,
65,54,Jimmy Walker,1,3,1,-,-,-,-,-,-,
66,67,Mark Calcavecchia,2,18,2,73,-,-,-,73,-,
67,67,Phil Mickelson,2,18,2,73,-,-,-,73,-,
68,67,Adam Hadwin,2,16,2,-,-,-,-,-,-,
69,67,Ernie Els,2,16,2,-,-,-,-,-,-,
70,67,Retief Goosen,2,14,2,-,-,-,-,-,-,
71,67,Kiradech Aphibarnrat,2,13,2,-,-,-,-,-,-,
72,67,Patrick Reed,2,11,2,-,-,-,-,-,-,
73,67,Paul Casey,2,11,2,-,-,-,-,-,-,
74,67,Jhonattan Vegas,2,10,2,-,-,-,-,-,-,
75,67,Kodai Ichihara,2,8,2,-,-,-,-,-,-,
76,67,Daniel Berger,2,4,2,-,-,-,-,-,-,
77,67,Alexander Levy,2,4,2,-,-,-,-,-,-,
78,67,Michael Hendry,2,3,2,-,-,-,-,-,-,
79,67,Jovan Rebula,2,2,2,-,-,-,-,-,-,
80,81,Shaun Norris,3,18,3,74,-,-,-,74,-,
81,81,Tyrrell Hatton,3,18,3,74,-,-,-,74,-,
82,81,Shane Lowry,3,18,3,74,-,-,-,74,-,
83,81,Marcus Kinhult,3,18,3,74,-,-,-,74,-,
84,81,Rafa Cabrera Bello,3,18,3,74,-,-,-,74,-,
85,81,George Coetzee,3,15,3,-,-,-,-,-,-,
86,81,Julian Suri,3,15,3,-,-,-,-,-,-,
87,81,Scott Jamieson,3,15,3,-,-,-,-,-,-,
88,81,Peter Uihlein,3,13,3,-,-,-,-,-,-,
89,81,Ashton Turner,3,7,3,-,-,-,-,-,-,
90,81,Patton Kizzire,3,5,3,-,-,-,-,-,-,
91,81,Tom Lewis,3,5,3,-,-,-,-,-,-,
92,93,Sandy Lyle,4,18,4,75,-,-,-,75,-,
93,93,Oliver Wilson,4,18,4,75,-,-,-,75,-,
94,93,Ross Fisher,4,18,4,75,-,-,-,75,-,
95,93,Hideto Tanihara,4,17,4,-,-,-,-,-,-,
96,93,David Duval,4,14,4,-,-,-,-,-,-,
97,93,Anirban Lahiri,4,13,4,-,-,-,-,-,-,
98,93,Haraldur Magnus,4,9,4,-,-,-,-,-,-,
99,100,Emiliano Grillo,5,18,5,76,-,-,-,76,-,
100,100,Yuxin Lin,5,10,5,-,-,-,-,-,-,
101,102,Danthai Boonma,7,18,7,78,-,-,-,78,-,
102,102,Darren Clarke,7,14,7,-,-,-,-,-,-,
103,104,Brady Schnell,8,18,8,79,-,-,-,79,-,
104,105,Andrew Landry,9,18,9,80,-,-,-,80,-,
105,106,Brendan Steele,-,8:15 AM,-,-,-,-,-,-,-,
106,106,Adam Scott,-,8:15 AM,-,-,-,-,-,-,-,
107,106,Zach Johnson,-,8:15 AM,-,-,-,-,-,-,-,
108,106,Francesco Molinari,-,8:26 AM,-,-,-,-,-,-,-,
109,106,Justin Thomas,-,8:26 AM,-,-,-,-,-,-,-,
110,106,Branden Grace,-,8:26 AM,-,-,-,-,-,-,-,
111,106,Haotong Li,-,8:37 AM,-,-,-,-,-,-,-,
112,106,Shota Akiyoshi,-,8:37 AM,-,-,-,-,-,-,-,
113,106,Jason Day,-,8:37 AM,-,-,-,-,-,-,-,
114,106,Jorge Campillo,-,8:48 AM,-,-,-,-,-,-,-,
115,106,Todd Hamilton,-,8:48 AM,-,-,-,-,-,-,-,
116,106,Beau Hossler,-,8:48 AM,-,-,-,-,-,-,-,
117,106,Michael Kim,-,9:04 AM,-,-,-,-,-,-,-,
118,106,Chez Reavie,-,9:04 AM,-,-,-,-,-,-,-,
119,106,Ryuko Tokimatsu,-,9:04 AM,-,-,-,-,-,-,-,
120,106,Kyle Stanley,-,9:15 AM,-,-,-,-,-,-,-,
121,106,Jens Dantorp,-,9:15 AM,-,-,-,-,-,-,-,
122,106,Nicolas Colsaerts,-,9:15 AM,-,-,-,-,-,-,-,
123,106,Tom Lehman,-,9:26 AM,-,-,-,-,-,-,-,
124,106,Grant Forrest,-,9:26 AM,-,-,-,-,-,-,-,
125,106,Dylan Frittelli,-,9:26 AM,-,-,-,-,-,-,-,
126,106,Jason Kokrak,-,9:37 AM,-,-,-,-,-,-,-,
127,106,Minchel Choi,-,9:37 AM,-,-,-,-,-,-,-,
128,106,Lucas Herbert,-,9:37 AM,-,-,-,-,-,-,-,
129,106,Padraig Harrington,-,9:48 AM,-,-,-,-,-,-,-,
130,106,Matt Wallace,-,9:48 AM,-,-,-,-,-,-,-,
131,106,Bubba Watson,-,9:48 AM,-,-,-,-,-,-,-,
132,106,Brooks Koepka,-,9:59 AM,-,-,-,-,-,-,-,
133,106,Ian Poulter,-,9:59 AM,-,-,-,-,-,-,-,
134,106,Cameron Smith,-,9:59 AM,-,-,-,-,-,-,-,
135,106,Shubhankar Sharma,-,10:10 AM,-,-,-,-,-,-,-,
136,106,Bryson DeChambeau,-,10:10 AM,-,-,-,-,-,-,-,
137,106,Sergio Garcia,-,10:10 AM,-,-,-,-,-,-,-,
138,106,Russell Knox,-,10:21 AM,-,-,-,-,-,-,-,
139,106,Hideki Matsuyama,-,10:21 AM,-,-,-,-,-,-,-,
140,106,Tiger Woods,-,10:21 AM,-,-,-,-,-,-,-,
141,106,Keegan Bradley,-,10:32 AM,-,-,-,-,-,-,-,
142,106,Jason Dufner,-,10:32 AM,-,-,-,-,-,-,-,
143,106,Ryan Fox,-,10:32 AM,-,-,-,-,-,-,-,
144,106,Abraham Ancer,-,10:43 AM,-,-,-,-,-,-,-,
145,106,Ryan Armour,-,10:43 AM,-,-,-,-,-,-,-,
146,106,Masahiro Kawamura,-,10:43 AM,-,-,-,-,-,-,-,
147,106,Jordan Smith,-,10:54 AM,-,-,-,-,-,-,-,
148,106,Jazz Janewattananond,-,10:54 AM,-,-,-,-,-,-,-,
149,106,Fabrizio Zanotti,-,10:54 AM,-,-,-,-,-,-,-,
150,106,Masanori Kobayashi,-,11:05 AM,-,-,-,-,-,-,-,
151,106,Brett Rumford,-,11:05 AM,-,-,-,-,-,-,-,
152,106,Jack Senior,-,11:05 AM,-,-,-,-,-,-,-,
153,106,Bronson Burgoon,-,11:16 AM,-,-,-,-,-,-,-,
154,106,Thomas Curtis,-,11:16 AM,-,-,-,-,-,-,-,
155,106,Matt Jones,-,11:16 AM,-,-,-,-,-,-,-,
