PLAYER,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
Bryson DeChambeau,T1,-6,-6,F,66,--,--,--,66
Brooks Koepka,T1,-6,-6,F,66,--,--,--,66
Phil Mickelson,3,-5,-5,F,67,--,--,--,67
Ian Poulter,T4,-4,-4,F,68,--,--,--,68
Dustin Johnson,T4,-4,-4,F,68,--,--,--,68
Justin Harding,T6,-3,-3,F,69,--,--,--,69
Adam Scott,T6,-3,-3,F,69,--,--,--,69
Jon Rahm,T6,-3,-3,F,69,--,--,--,69
Kiradech Aphibarnrat,T6,-3,-3,F,69,--,--,--,69
Kevin Kisner,T6,-3,-3,F,69,--,--,--,69
Corey Conners,T11,-2,-2,F,70,--,--,--,70
J.B. Holmes,T11,-2,-2,F,70,--,--,--,70
Lucas Bjerregaard,T11,-2,-2,F,70,--,--,--,70
Gary Woodland,T11,-2,-2,F,70,--,--,--,70
Tiger Woods,T11,-2,-2,F,70,--,--,--,70
Rickie Fowler,T11,-2,-2,F,70,--,--,--,70
Cameron Smith,T11,-2,-2,F,70,--,--,--,70
Patton Kizzire,T11,-2,-2,F,70,--,--,--,70
Francesco Molinari,T11,-2,-2,F,70,--,--,--,70
Jason Day,T11,-2,-2,F,70,--,--,--,70
Tony Finau,T21,-1,-1,F,71,--,--,--,71
Louis Oosthuizen,T21,-1,-1,F,71,--,--,--,71
Charley Hoffman,T21,-1,-1,F,71,--,--,--,71
Tommy Fleetwood,T21,-1,-1,F,71,--,--,--,71
Thorbjorn Olesen,T21,-1,-1,F,71,--,--,--,71
Kevin Na,T21,-1,-1,F,71,--,--,--,71
Bernhard Langer,T21,-1,-1,F,71,--,--,--,71
Matt Kuchar,T21,-1,-1,F,71,--,--,--,71
Andrew Landry,T29,E,E,F,72,--,--,--,72
Kevin Tway,T29,E,E,F,72,--,--,--,72
Keith Mitchell,T29,E,E,F,72,--,--,--,72
Mike Weir,T29,E,E,F,72,--,--,--,72
Si Woo Kim,T29,E,E,F,72,--,--,--,72
Emiliano Grillo,T29,E,E,F,72,--,--,--,72
Branden Grace,T29,E,E,F,72,--,--,--,72
Kyle Stanley,T29,E,E,F,72,--,--,--,72
Webb Simpson,T29,E,E,F,72,--,--,--,72
Viktor Hovland (a),T29,E,E,F,72,--,--,--,72
Marc Leishman,T29,E,E,F,72,--,--,--,72
Li Haotong,T29,E,E,F,72,--,--,--,72
Jimmy Walker,T29,E,E,F,72,--,--,--,72
Billy Horschel,T29,E,E,F,72,--,--,--,72
Bubba Watson,T29,E,E,F,72,--,--,--,72
Takumi Kanaya (a),T44,+1,+1,F,73,--,--,--,73
Charles Howell III,T44,+1,+1,F,73,--,--,--,73
Sergio Garcia,T44,+1,+1,F,73,--,--,--,73
Patrick Reed,T44,+1,+1,F,73,--,--,--,73
Xander Schauffele,T44,+1,+1,F,73,--,--,--,73
Rory McIlroy,T44,+1,+1,F,73,--,--,--,73
Sandy Lyle,T44,+1,+1,F,73,--,--,--,73
Martin Kaymer,T44,+1,+1,F,73,--,--,--,73
Alvaro Ortiz (a),T44,+1,+1,F,73,--,--,--,73
Jovan Rebula (a),T44,+1,+1,F,73,--,--,--,73
Rafael Cabrera Bello,T44,+1,+1,F,73,--,--,--,73
Tyrrell Hatton,T44,+1,+1,F,73,--,--,--,73
Patrick Cantlay,T44,+1,+1,F,73,--,--,--,73
Justin Thomas,T44,+1,+1,F,73,--,--,--,73
Eddie Pepperell,T58,+2,+2,F,74,--,--,--,74
Henrik Stenson,T58,+2,+2,F,74,--,--,--,74
Trevor Immelman,T58,+2,+2,F,74,--,--,--,74
Devon Bling (a),T58,+2,+2,F,74,--,--,--,74
Zach Johnson,T58,+2,+2,F,74,--,--,--,74
Adam Long,T63,+3,+3,F,75,--,--,--,75
Aaron Wise,T63,+3,+3,F,75,--,--,--,75
Danny Willett,T63,+3,+3,F,75,--,--,--,75
Brandt Snedeker,T63,+3,+3,F,75,--,--,--,75
Hideki Matsuyama,T63,+3,+3,F,75,--,--,--,75
Matt Wallace,T63,+3,+3,F,75,--,--,--,75
Alexander Noren,T63,+3,+3,F,75,--,--,--,75
Satoshi Kodaira,T63,+3,+3,F,75,--,--,--,75
Justin Rose,T63,+3,+3,F,75,--,--,--,75
Jordan Spieth,T63,+3,+3,F,75,--,--,--,75
Michael Kim,T73,+4,+4,F,76,--,--,--,76
Stewart Cink,T73,+4,+4,F,76,--,--,--,76
Keegan Bradley,T73,+4,+4,F,76,--,--,--,76
Shugo Imahira,T73,+4,+4,F,76,--,--,--,76
Kevin O'Connell (a),T77,+5,+5,F,77,--,--,--,77
Charl Schwartzel,T77,+5,+5,F,77,--,--,--,77
Larry Mize,T77,+5,+5,F,77,--,--,--,77
Shane Lowry,T80,+6,+6,F,78,--,--,--,78
Fred Couples,T80,+6,+6,F,78,--,--,--,78
Jose Maria Olazabal,T80,+6,+6,F,78,--,--,--,78
Matthew Fitzpatrick,T80,+6,+6,F,78,--,--,--,78
Ian Woosnam,T84,+8,+8,F,80,--,--,--,80
Vijay Singh,T84,+8,+8,F,80,--,--,--,80
Paul Casey,86,+9,+9,F,81,--,--,--,81
Angel Cabrera,87,+10,+10,F,82,--,--,--,82
