,%,AVG,EVENTS,MONEY,OFFICIAL MONEY WON,PLAYER NAME,POTENTIAL MONEY,RANK LAST WEEK,RANK THIS WEEK,ROUNDS,TOTAL ADJUSTMENT,TOTAL ROUNDS,TOTAL STROKES,YTD VICTORIES
0,,68.602,,,,Dustin Johnson,,1,1,47.0,- 7.500,44.0,3026.0,
1,,69.165,,,,Justin Rose,,2,2,48.0,- 11.720,44.0,3055.0,
2,,69.296,,,,Henrik Stenson,,3,3,38.0,- 14.920,34.0,2371.0,
3,,69.358,,,,Justin Thomas,,4,4,65.0,- 7.968,56.0,3892.0,
4,,69.422,,,,Paul Casey,,5,5,49.0,- 22.600,46.0,3216.0,
5,,69.473,,,,Webb Simpson,,6,6,63.0,- 13.640,60.0,4182.0,
6,,69.495,,,,Tommy Fleetwood,,7,7,41.0,- 29.177,34.0,2392.0,
7,,69.517,,,,Brooks Koepka,,8,8,34.0,- 10.450,32.0,2235.0,
8,,69.62899999999999,,,,Jason Day,,9,9,49.0,- 14.576,42.0,2939.0,
9,,69.686,,,,Rickie Fowler,,10,10,54.0,- 2.955,54.0,3766.0,
10,,69.712,,,,Steve Stricker,,999,11,36.0,- 2.806,34.0,2373.0,
11,,69.722,,,,Rory McIlroy,,11,12,40.0,- 22.301,37.0,2602.0,
12,,69.76100000000001,,,,Tony Finau,,12,13,73.0,- 18.804,66.0,4623.0,
13,,69.765,,,,Tiger Woods,,13,14,40.0,- 25.403,40.0,2816.0,
14,,69.822,,,,Bryson DeChambeau,,14,15,67.0,- 5.923,67.0,4684.0,
15,,69.86,,,,Alex Noren,,15,16,47.0,- 30.593,40.0,2825.0,
16,,69.90899999999999,,,,Phil Mickelson,,16,17,64.0,- 6.527,61.0,4271.0,
17,,69.955,,,,Emiliano Grillo,,18,18,72.0,4.883,70.0,4892.0,
18,,69.962,,,,Jordan Spieth,,19,19,57.0,19.030,52.0,3619.0,
19,,69.988,,,,Zach Johnson,,22,20,72.0,12.200,65.0,4537.0,
20,,70.009,,,,Ryan Moore,,17,21,60.0,- 1.467,60.0,4202.0,
21,,70.018,,,,Patrick Reed,,21,22,68.0,- 18.938,60.0,4220.0,
22,,70.042,,,,Chesson Hadley,,20,23,85.0,6.421,81.0,5667.0,
23,,70.04899999999999,,,,Rafa Cabrera Bello,,23,24,47.0,- 21.940,42.0,2964.0,
24,,70.051,,,,Jon Rahm,,24,25,47.0,9.127,42.0,2933.0,
25,,70.056,,,,Charles Howell III,,25,26,88.0,1.708,84.0,5883.0,
26,,70.078,,,,Francesco Molinari,,33,27,51.0,- 14.264,48.0,3378.0,
27,,70.111,,,,Patrick Cantlay,,26,28,59.0,- 13.247,52.0,3659.0,
28,,70.118,,,,Louis Oosthuizen,,27,29,42.0,- 26.985,34.0,2411.0,
29,,70.12,,,,Brian Harman,,28,30,72.0,- 3.833,68.0,4772.0,
30,,70.133,,,,Bubba Watson,,29,31,64.0,10.056,53.0,3707.0,
31,,70.145,,,,Luke List,,30,32,78.0,- 13.127,75.0,5274.0,
