Index,PLAYER,playerSalary,status,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
51,Branden Grace,2,available,-,-,CUT,-,CUT,75,71,--,--,146
33,Tyrrell Hatton,3,available,T25,2,-1,-1,12,70,74,69,--,213
71,Aaron Baddeley,1,available,-,-,CUT,-,CUT,72,75,--,--,147
16,Jason Day,4,available,T25,2,-1,-1,12,70,73,70,--,213
138,Lee Slattery,1,available,-,-,CUT,-,CUT,73,72,--,--,145
59,Keith Mitchell,2,available,-,-,CUT,-,CUT,76,70,--,--,146
17,Tommy Fleetwood,4,available,T66,6,+6,+2,F,71,73,73,73,290
9,Justin Thomas,6,available,-,-,CUT,-,CUT,73,73,--,--,146
85,Jason Dufner,1,available,T36,3,+1,E,16,70,71,73,--,214
37,Shane Lowry,3,available,T36,3,+1,E,14,75,69,70,--,214
13,Matt Kuchar,5,available,T12,5,-4,+1,3,69,69,70,--,208
76,Merrick Bremner,1,available,-,-,CUT,-,CUT,79,79,--,--,158
68,Aaron Wise,2,available,T36,12,+1,-2,F,66,71,79,69,285
84,Brett Drewitt,1,available,-,-,CUT,-,CUT,77,76,--,--,153
146,Spencer Tibbits,1,available,,,,,,,,,,
111,Marcus Kinhult,1,available,T32,32,E,-5,F,74,70,74,66,284
94,Cody Gribble,1,available,-,-,CUT,-,CUT,74,74,--,--,148
80,Charlie Danielson,1,available,T59,13,+5,-1,F,72,70,77,70,289
125,Renato Paratore,1,available,-,-,CUT,-,CUT,75,74,--,--,149
15,Xander Schauffele,5,available,T5,9,-7,-4,7,66,73,71,--,210
154,Brandon Wu,1,available,,,,,,,,,,
116,Richard H. Lee,1,available,-,-,CUT,-,CUT,72,78,--,--,150
29,Keegan Bradley,3,available,-,-,CUT,-,CUT,73,76,--,--,149
134,Sam Saunders,1,available,-,-,CUT,-,CUT,72,75,--,--,147
46,Byeong Hun An,2,available,,,,,,,,,,
66,Jhonattan Vegas,2,available,-,-,CUT,-,CUT,72,77,--,--,149
75,Joseph Bramlett,1,available,-,-,CUT,-,CUT,73,72,--,--,145
122,Kevin O'Connell,1,available,,,,,,,,,,
26,Gary Woodland,4,available,T1,-,-11,E,1,68,65,69,--,202
92,Marcus Fraser,1,available,-,-,CUT,-,CUT,73,79,--,--,152
70,Adri Arnaus,1,available,T59,1,+5,+1,F,69,75,73,72,289
53,Justin Harding,2,available,-,-,CUT,-,CUT,73,73,--,--,146
103,Sam Horsfield,1,available,-,-,CUT,-,CUT,75,74,--,--,149
50,Lucas Glover,2,available,-,-,CUT,-,CUT,73,72,--,--,145
131,Alex Prugh,1,available,T25,8,-1,-2,15,75,69,70,--,214
41,Ian Poulter,3,available,-,-,CUT,-,CUT,73,73,--,--,146
58,Luke List,2,available,-,-,CUT,-,CUT,74,72,--,--,146
86,Chandler Eaton,1,available,,,,,,,,,,
151,Justin Walters,1,available,T71,6,+8,E,1,72,72,77,--,221
102,Mikumu Horikawa,1,available,-,-,CUT,-,CUT,73,75,--,--,148
152,Mike Weir,1,available,-,-,CUT,-,CUT,74,74,--,--,148
44,Jordan Spieth,3,available,T55,22,+4,+3,16,72,69,73,--,214
109,Martin Kaymer,1,available,T36,5,+1,-1,17,69,75,71,--,215
18,Marc Leishman,4,available,T36,9,+1,+1,13,69,74,70,--,213
110,Chan Kim,1,available,-,-,CUT,-,CUT,77,75,--,--,152
57,Si Woo Kim,2,available,-,-,CUT,-,CUT,76,74,--,--,150
12,Rickie Fowler,5,available,T45,12,+2,+1,15,66,77,71,--,214
72,Daniel Berger,1,available,T51,9,+3,-1,F,73,70,74,70,287
143,Callum Tarren,1,available,-,-,CUT,-,CUT,73,75,--,--,148
104,Viktor Hovland,1,available,,,,,,,,,,
126,Matt Parziale,1,available,,,,,,,,,,
7,Bryson DeChambeau,6,available,T36,12,+1,-2,F,69,74,73,69,285
48,Ryan Fox,2,available,-,-,CUT,-,CUT,74,73,--,--,147
120,Matthew Naumec,1,available,,,,,,,,,,
147,Brendon Todd,1,available,-,-,CUT,-,CUT,72,74,--,--,146
133,Rory Sabbatini,1,available,T45,3,+2,-1,F,72,71,73,70,286
63,Andrew Putnam,2,available,T45,15,+2,-2,F,73,71,73,69,286
97,Stewart Hagestad,1,available,,,,,,,,,,
38,Hideki Matsuyama,3,available,T25,2,-1,E,10,69,73,70,--,212
47,Abraham Ancer,2,available,T25,8,-1,+1,8,74,68,69,--,211
144,Nick Taylor,1,available,T51,18,+3,+2,14,74,70,70,--,214
69,Connor Arendell,1,available,-,-,CUT,-,CUT,77,73,--,--,150
6,Patrick Cantlay,6,available,T21,2,-2,-1,10,73,71,68,--,212
127,Matthieu Pavon,1,available,-,-,CUT,-,CUT,73,74,--,--,147
