PLAYER,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
Gary Woodland,T1,-,-11,E,1,68,65,69,--,202
Justin Rose,T1,1,-11,-1,1,65,70,68,--,203
Louis Oosthuizen,T3,-,-8,-1,2,66,70,70,--,206
Brooks Koepka,T3,-,-8,-1,1,69,69,68,--,206
Xander Schauffele,T5,9,-7,-4,7,66,73,71,--,210
Chez Reavie,T5,2,-7,E,1,68,70,68,--,206
Adam Scott,T7,7,-6,-3,6,70,69,71,--,210
Jon Rahm,T7,2,-6,-2,5,69,70,70,--,209
Matt Wallace,T9,-,-5,-1,6,70,68,71,--,209
Henrik Stenson,T9,-,-5,-1,5,68,71,70,--,209
Danny Willett,T9,-,-5,-1,4,71,71,67,--,209
Matthew Fitzpatrick,T12,11,-4,-3,11,69,71,72,--,212
Francesco Molinari,T12,5,-4,-2,9,68,72,71,--,211
Byeong-Hun An,T12,2,-4,-1,6,70,72,68,--,210
Graeme McDowell,T12,3,-4,E,4,69,70,70,--,209
Chesson Hadley,T12,5,-4,+1,3,68,70,70,--,208
Matt Kuchar,T12,5,-4,+1,3,69,69,70,--,208
Rory McIlroy,T12,6,-4,+2,2,68,69,70,--,207
Webb Simpson,T19,22,-3,-5,F,74,68,73,66,281
Viktor Hovland (a),T19,8,-3,-3,13,69,73,71,--,213
Paul Casey,T21,20,-2,-4,F,70,72,73,67,282
Patrick Cantlay,T21,2,-2,-1,10,73,71,68,--,212
Brandon Wu (a),T21,4,-2,E,8,71,69,71,--,211
Nate Lashley,T21,4,-2,E,8,67,74,70,--,211
Sepp Straka,T25,23,-1,-4,F,68,72,76,67,283
Alex Prugh,T25,8,-1,-2,15,75,69,70,--,214
Jason Day,T25,2,-1,-1,12,70,73,70,--,213
Tyrrell Hatton,T25,2,-1,-1,12,70,74,69,--,213
Hideki Matsuyama,T25,2,-1,E,10,69,73,70,--,212
Scott Piercy,T25,8,-1,+1,9,67,72,72,--,211
Abraham Ancer,T25,8,-1,+1,8,74,68,69,--,211
Marcus Kinhult,T32,32,E,-5,F,74,70,74,66,284
Patrick Reed,T32,16,E,-3,F,71,73,72,68,284
Billy Horschel,T32,1,E,-1,16,73,70,71,--,214
Jim Furyk,T32,9,E,+1,11,73,67,72,--,212
Aaron Wise,T36,12,+1,-2,F,66,71,79,69,285
Bryson DeChambeau,T36,12,+1,-2,F,69,74,73,69,285
Collin Morikawa,T36,12,+1,-2,F,71,73,72,69,285
Martin Kaymer,T36,5,+1,-1,17,69,75,71,--,215
Jason Dufner,T36,3,+1,E,16,70,71,73,--,214
