New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
148,149,0,600,Brian Mackey,1,available,T53,+3,+3,8,--,--,--,--,--
103,104,1.3245,106,Michael Thompson,1,available,-,E,0,12:10 PM,--,--,--,--,--
90,91,1.4969,92,Chesson Hadley,1,available,-,E,0,2:11 PM,--,--,--,--,--
21,22,3.9572,22,Marc Leishman,4,available,-,E,0,2:00 PM,--,--,--,--,--
76,77,1.7948,77,Satoshi Kodaira,2,available,-,E,0,1:49 PM,--,--,--,--,--
95,96,1.414,97,Julian Suri,1,available,T42,+2,+2,8,--,--,--,--,--
6,7,7.1239,7,Francesco Molinari,6,available,T12,E,0,9,--,--,--,--,--
13,14,4.9163,14,Tony Finau,5,available,-,E,0,12:43 PM,--,--,--,--,--
2,2,8.9739,2,Justin Rose,7,available,T12,E,0,10,--,--,--,--,--
120,121,1.0507,144,Brandon Stone,1,available,-,E,0,1:49 PM,--,--,--,--,--
45,46,2.5164,46,Branden Grace,3,available,-,E,0,12:32 PM,--,--,--,--,--
97,98,1.3663,99,Cameron Champ,1,available,-,E,0,12:21 PM,--,--,--,--,--
34,35,2.9767,35,Li Haotong,3,available,T53,+3,+3,10,--,--,--,--,--
40,41,2.7039,41,Billy Horschel,3,available,-,E,0,12:43 PM,--,--,--,--,--
72,73,1.8399,73,Luke List,2,available,T5,-2,-2,7,--,--,--,--,--
82,83,1.6411,84,Mikko Korhonen,2,available,-,E,0,2:22 PM,--,--,--,--,--
149,150,0,600,Shaun Micheel,1,available,-,E,0,1:16 PM,--,--,--,--,--
32,33,3.0954,33,Matthew Fitzpatrick,3,available,-,E,0,12:54 PM,--,--,--,--,--
70,71,1.8607,71,Shugo Imahira,2,available,T42,+2,+2,8,--,--,--,--,--
126,127,0.8364,201,Richy Werenski,1,available,T42,+2,+2,12,--,--,--,--,--
125,126,0.858,198,Martin Kaymer,1,available,-,E,0,1:05 PM,--,--,--,--,--
111,112,1.2453,116,Danny Lee,1,available,-,E,0,12:10 PM,--,--,--,--,--
107,108,1.2873,111,Mike Lorenzo-Vera,1,available,T12,E,0,12,--,--,--,--,--
86,87,1.5671,88,Daniel Berger,2,available,-,E,0,12:32 PM,--,--,--,--,--
130,131,0.3848,435,Steve Stricker,1,available,-,E,0,1:05 PM,--,--,--,--,--
102,103,1.3287,105,Jimmy Walker,1,available,T8,-1,-1,11,--,--,--,--,--
12,13,5.3091,13,Matt Kuchar,5,available,-,E,0,1:49 PM,--,--,--,--,--
134,135,0,600,Rich Beem,1,available,-,E,0,12:54 PM,--,--,--,--,--
145,146,0,600,Craig Hocknull,1,available,-,E,0,2:22 PM,--,--,--,--,--
20,21,4.003,21,Louis Oosthuizen,4,available,T29,+1,+1,11,--,--,--,--,--
