,Pos,Name,Total,Thru,Today,R1,R2,R3,R4,S,Strokes,Earnings
0,1,Kevin Kisner,-5,18,-5,66,-,-,-,66,-,
1,2,Erik van Rooyen,-4,18,-4,67,-,-,-,67,-,
2,2,Tony Finau,-4,18,-4,67,-,-,-,67,-,
3,2,Zander Lombard,-4,18,-4,67,-,-,-,67,-,
4,5,Brandon Stone,-3,18,-3,68,-,-,-,68,-,
5,5,Ryan Moore,-3,18,-3,68,-,-,-,68,-,
6,5,Brendan Steele,-3,18,-3,68,-,-,-,68,-,
7,8,Matthew Southgate,-2,18,-2,69,-,-,-,69,-,
8,8,Danny Willett,-2,18,-2,69,-,-,-,69,-,
9,8,Sung Kang,-2,18,-2,69,-,-,-,69,-,
10,8,Pat Perez,-2,18,-2,69,-,-,-,69,-,
11,8,Jon Rahm,-2,18,-2,69,-,-,-,69,-,
12,8,Russell Henley,-2,18,-2,69,-,-,-,69,-,
13,8,Rory McIlroy,-2,18,-2,69,-,-,-,69,-,
14,8,Zach Johnson,-2,18,-2,69,-,-,-,69,-,
15,8,Justin Thomas,-2,18,-2,69,-,-,-,69,-,
16,8,Chez Reavie,-2,18,-2,69,-,-,-,69,-,
17,18,Luke List,-1,18,-1,70,-,-,-,70,-,
18,18,Kevin Chappell,-1,18,-1,70,-,-,-,70,-,
19,18,Patrick Cantlay,-1,18,-1,70,-,-,-,70,-,
20,18,Thomas Pieters,-1,18,-1,70,-,-,-,70,-,
21,18,Yuta Ikeda,-1,18,-1,70,-,-,-,70,-,
22,18,Webb Simpson,-1,18,-1,70,-,-,-,70,-,
23,18,Kevin Na,-1,18,-1,70,-,-,-,70,-,
24,18,Matt Kuchar,-1,18,-1,70,-,-,-,70,-,
25,18,Chris Wood,-1,18,-1,70,-,-,-,70,-,
26,18,Rickie Fowler,-1,18,-1,70,-,-,-,70,-,
27,18,Henrik Stenson,-1,18,-1,70,-,-,-,70,-,
28,18,Thorbjorn Olesen,-1,18,-1,70,-,-,-,70,-,
29,18,Alex Noren,-1,18,-1,70,-,-,-,70,-,
30,18,Francesco Molinari,-1,18,-1,70,-,-,-,70,-,
31,32,Andy Sullivan,E,18,E,71,-,-,-,71,-,
32,32,Martin Kaymer,E,18,E,71,-,-,-,71,-,
33,32,Eddie Pepperell,E,18,E,71,-,-,-,71,-,
34,32,Paul Dunne,E,18,E,71,-,-,-,71,-,
35,32,Brian Harman,E,18,E,71,-,-,-,71,-,
36,32,Si Woo Kim,E,18,E,71,-,-,-,71,-,
37,32,Yusaku Miyazato,E,18,E,71,-,-,-,71,-,
38,32,Gary Woodland,E,18,E,71,-,-,-,71,-,
39,32,Xander Schauffele,E,18,E,71,-,-,-,71,-,
40,32,Sean Crocker,E,18,E,71,-,-,-,71,-,
41,32,Cameron Davis,E,18,E,71,-,-,-,71,-,
42,32,Charley Hoffman,E,18,E,71,-,-,-,71,-,
43,32,Adam Scott,E,18,E,71,-,-,-,71,-,
44,32,Haotong Li,E,18,E,71,-,-,-,71,-,
45,32,Jason Day,E,18,E,71,-,-,-,71,-,
46,32,Dylan Frittelli,E,18,E,71,-,-,-,71,-,
47,32,Tiger Woods,E,18,E,71,-,-,-,71,-,
48,32,Abraham Ancer,E,18,E,71,-,-,-,71,-,
49,50,Austin Cook,1,18,1,72,-,-,-,72,-,
50,50,Satoshi Kodaira,1,18,1,72,-,-,-,72,-,
51,50,Nicolai Hojgaard,1,18,1,72,-,-,-,72,-,
52,50,Stewart Cink,1,18,1,72,-,-,-,72,-,
53,50,Justin Rose,1,18,1,72,-,-,-,72,-,
54,50,Jordan Spieth,1,18,1,72,-,-,-,72,-,
55,50,Louis Oosthuizen,1,18,1,72,-,-,-,72,-,
56,50,Alexander Bjork,1,18,1,72,-,-,-,72,-,
57,50,Haraldur Magnus,1,18,1,72,-,-,-,72,-,
58,50,Gavin Green,1,18,1,72,-,-,-,72,-,
59,50,Sam Locke,1,18,1,72,-,-,-,72,-,
60,50,Lee Westwood,1,18,1,72,-,-,-,72,-,
61,50,Jimmy Walker,1,18,1,72,-,-,-,72,-,
62,50,Tommy Fleetwood,1,18,1,72,-,-,-,72,-,
63,50,Matthew Fitzpatrick,1,18,1,72,-,-,-,72,-,
64,50,Marc Leishman,1,18,1,72,-,-,-,72,-,
65,50,Jorge Campillo,1,18,1,72,-,-,-,72,-,
66,50,Ryuko Tokimatsu,1,18,1,72,-,-,-,72,-,
67,50,Kyle Stanley,1,18,1,72,-,-,-,72,-,
68,50,Jason Kokrak,1,18,1,72,-,-,-,72,-,
69,50,Brooks Koepka,1,18,1,72,-,-,-,72,-,
70,50,Fabrizio Zanotti,1,18,1,72,-,-,-,72,-,
71,72,Mark Calcavecchia,2,18,2,73,-,-,-,73,-,
72,72,Phil Mickelson,2,18,2,73,-,-,-,73,-,
73,72,Ernie Els,2,18,2,73,-,-,-,73,-,
74,72,Chesson Hadley,2,18,2,73,-,-,-,73,-,
75,72,Adam Hadwin,2,18,2,73,-,-,-,73,-,
76,72,Bernhard Langer,2,18,2,73,-,-,-,73,-,
77,72,Paul Casey,2,18,2,73,-,-,-,73,-,
78,72,Daniel Berger,2,18,2,73,-,-,-,73,-,
79,72,Alexander Levy,2,18,2,73,-,-,-,73,-,
80,72,Byeong Hun An,2,18,2,73,-,-,-,73,-,
81,72,Michael Hendry,2,18,2,73,-,-,-,73,-,
82,72,Beau Hossler,2,18,2,73,-,-,-,73,-,
83,72,Michael Kim,2,18,2,73,-,-,-,73,-,
84,72,Lucas Herbert,2,18,2,73,-,-,-,73,-,
85,72,Cameron Smith,2,18,2,73,-,-,-,73,-,
86,72,Ian Poulter,2,18,2,73,-,-,-,73,-,
87,72,Shubhankar Sharma,2,18,2,73,-,-,-,73,-,
88,72,Russell Knox,2,18,2,73,-,-,-,73,-,
89,90,Shaun Norris,3,18,3,74,-,-,-,74,-,
90,90,Tyrrell Hatton,3,18,3,74,-,-,-,74,-,
91,90,Shane Lowry,3,18,3,74,-,-,-,74,-,
92,90,Marcus Kinhult,3,18,3,74,-,-,-,74,-,
93,90,Rafa Cabrera Bello,3,18,3,74,-,-,-,74,-,
94,90,Julian Suri,3,18,3,74,-,-,-,74,-,
95,90,Retief Goosen,3,18,3,74,-,-,-,74,-,
96,90,Peter Uihlein,3,18,3,74,-,-,-,74,-,
97,90,Kiradech Aphibarnrat,3,18,3,74,-,-,-,74,-,
98,90,Rhys Enoch,3,18,3,74,-,-,-,74,-,
99,90,Charl Schwartzel,3,18,3,74,-,-,-,74,-,
100,90,Kelly Kraft,3,18,3,74,-,-,-,74,-,
101,90,Branden Grace,3,18,3,74,-,-,-,74,-,
102,90,Matt Wallace,3,18,3,74,-,-,-,74,-,
103,90,Ryan Fox,3,18,3,74,-,-,-,74,-,
104,90,Keegan Bradley,3,18,3,74,-,-,-,74,-,
105,90,Jazz Janewattananond,3,18,3,74,-,-,-,74,-,
106,90,Jordan Smith,3,18,3,74,-,-,-,74,-,
107,90,Brett Rumford,3,18,3,74,-,-,-,74,-,
108,90,Bronson Burgoon,3,18,3,74,-,-,-,74,-,
109,110,Sandy Lyle,4,18,4,75,-,-,-,75,-,
110,110,Oliver Wilson,4,18,4,75,-,-,-,75,-,
111,110,Ross Fisher,4,18,4,75,-,-,-,75,-,
112,110,Hideto Tanihara,4,18,4,75,-,-,-,75,-,
113,110,George Coetzee,4,18,4,75,-,-,-,75,-,
114,110,Scott Jamieson,4,18,4,75,-,-,-,75,-,
115,110,Patrick Reed,4,18,4,75,-,-,-,75,-,
116,110,James Robinson,4,18,4,75,-,-,-,75,-,
117,110,Charles Howell III,4,18,4,75,-,-,-,75,-,
118,110,Tom Lewis,4,18,4,75,-,-,-,75,-,
119,110,Todd Hamilton,4,18,4,75,-,-,-,75,-,
120,110,Tom Lehman,4,18,4,75,-,-,-,75,-,
121,110,Bubba Watson,4,18,4,75,-,-,-,75,-,
122,110,Bryson DeChambeau,4,18,4,75,-,-,-,75,-,
123,110,Sergio Garcia,4,18,4,75,-,-,-,75,-,
124,110,Hideki Matsuyama,4,18,4,75,-,-,-,75,-,
125,110,Jason Dufner,4,18,4,75,-,-,-,75,-,
126,110,Ryan Armour,4,18,4,75,-,-,-,75,-,
127,110,Matt Jones,4,18,4,75,-,-,-,75,-,
128,129,Emiliano Grillo,5,18,5,76,-,-,-,76,-,
129,129,Anirban Lahiri,5,18,5,76,-,-,-,76,-,
130,129,Jhonattan Vegas,5,18,5,76,-,-,-,76,-,
131,129,Sang-Hyun Park,5,18,5,76,-,-,-,76,-,
132,129,Brandt Snedeker,5,18,5,76,-,-,-,76,-,
133,129,Dustin Johnson,5,18,5,76,-,-,-,76,-,
134,129,Jens Dantorp,5,18,5,76,-,-,-,76,-,
135,129,Padraig Harrington,5,18,5,76,-,-,-,76,-,
136,137,Patton Kizzire,6,18,6,77,-,-,-,77,-,
137,137,Jonas Blixt,6,18,6,77,-,-,-,77,-,
138,137,Shota Akiyoshi,6,18,6,77,-,-,-,77,-,
139,137,Masahiro Kawamura,6,18,6,77,-,-,-,77,-,
140,141,Danthai Boonma,7,18,7,78,-,-,-,78,-,
141,141,Kodai Ichihara,7,18,7,78,-,-,-,78,-,
142,141,Ashton Turner,7,18,7,78,-,-,-,78,-,
143,144,Brady Schnell,8,18,8,79,-,-,-,79,-,
144,144,Jovan Rebula,8,18,8,79,-,-,-,79,-,
145,144,Nicolas Colsaerts,8,18,8,79,-,-,-,79,-,
146,144,Minchel Choi,8,18,8,79,-,-,-,79,-,
147,144,Jack Senior,8,18,8,79,-,-,-,79,-,
148,149,Andrew Landry,9,18,9,80,-,-,-,80,-,
149,149,David Duval,9,18,9,80,-,-,-,80,-,
150,149,Yuxin Lin,9,18,9,80,-,-,-,80,-,
151,149,Marcus Armitage,9,18,9,80,-,-,-,80,-,
152,149,Grant Forrest,9,18,9,80,-,-,-,80,-,
153,154,Darren Clarke,11,18,11,82,-,-,-,82,-,
154,154,Masanori Kobayashi,11,18,11,82,-,-,-,82,-,
155,154,Thomas Curtis,11,18,11,82,-,-,-,82,-,
