New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
148,149,0,600,Brian Mackey,1,available,T83,8,+4,0,2:00 PM,74,--,--,--,74
103,104,1.3245,106,Michael Thompson,1,available,T140,8,+9,2,11,77,--,--,--,77
90,91,1.4969,92,Chesson Hadley,1,available,T103,52,+5,3,3,72,--,--,--,72
21,22,3.9572,22,Marc Leishman,4,available,T124,33,+7,3,4,74,--,--,--,74
76,77,1.7948,77,Satoshi Kodaira,2,available,T103,29,+5,2,5,73,--,--,--,73
95,96,1.414,97,Julian Suri,1,available,T48,3,+2,0,2:11 PM,72,--,--,--,72
6,7,7.1239,7,Francesco Molinari,6,available,T48,3,+2,0,1:49 PM,72,--,--,--,72
13,14,4.9163,14,Tony Finau,5,available,T35,18,+1,1,8,70,--,--,--,70
2,2,8.9739,2,Justin Rose,7,available,T17,-,E,0,1:27 PM,70,--,--,--,70
120,121,1.0507,144,Brandon Stone,1,available,T140,9,+9,0,4,79,--,--,--,79
45,46,2.5164,46,Branden Grace,3,available,T103,29,+5,2,9,73,--,--,--,73
97,98,1.3663,99,Cameron Champ,1,available,T103,52,+5,3,10,72,--,--,--,72
34,35,2.9767,35,Li Haotong,3,available,T71,3,+3,0,1:27 PM,73,--,--,--,73
40,41,2.7039,41,Billy Horschel,3,available,T48,31,+2,2,8,70,--,--,--,70
72,73,1.8399,73,Luke List,2,available,T4,-,-2,0,2:11 PM,68,--,--,--,68
82,83,1.6411,84,Mikko Korhonen,2,available,T71,20,+3,-1,2,74,--,--,--,74
149,150,0,600,Shaun Micheel,1,available,T124,8,+7,0,6,77,--,--,--,77
32,33,3.0954,33,Matthew Fitzpatrick,3,available,T83,29,+4,-1,7,75,--,--,--,75
70,71,1.8607,71,Shugo Imahira,2,available,T83,8,+4,0,2:00 PM,74,--,--,--,74
126,127,0.8364,201,Richy Werenski,1,available,T48,3,+2,0,12:54 PM,72,--,--,--,72
125,126,0.858,198,Martin Kaymer,1,available,T103,12,+5,1,7,74,--,--,--,74
111,112,1.2453,116,Danny Lee,1,available,T9,7,-1,5,11,64,--,--,--,64
