PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY
Justin Rose,4,33.71,"$1,914,269","$5,678,000"
Dustin Johnson,5,31.21,"$2,323,352","$7,445,000"
Xander Schauffele,8,30.43,"$3,530,860","$11,603,000"
Francesco Molinari,4,29.52,"$1,884,250","$6,383,000"
Matt Kuchar,8,28.25,"$3,031,933","$10,731,000"
Brooks Koepka,6,27.77,"$2,587,400","$9,317,000"
Rory McIlroy,6,25.91,"$2,330,008","$8,993,000"
Rickie Fowler,7,24.68,"$2,398,778","$9,719,000"
Marc Leishman,8,21.64,"$2,470,106","$11,415,000"
Bryson DeChambeau,6,21.62,"$1,821,679","$8,427,000"
Phil Mickelson,7,21.62,"$2,070,480","$9,575,000"
Justin Thomas,8,21.62,"$2,378,275","$11,001,000"
Gary Woodland,10,20.49,"$2,766,749","$13,503,000"
Matthew Fitzpatrick,4,17.33,"$1,118,112","$6,451,000"
Patrick Cantlay,7,16.47,"$1,569,277","$9,529,000"
Charles Howell III,11,16.04,"$2,394,599","$14,925,000"
Paul Casey,8,15.79,"$1,826,473","$11,567,000"
J.B. Holmes,9,14.53,"$1,788,641","$12,312,000"
Jason Day,6,13.94,"$1,253,883","$8,994,000"
Tony Finau,8,13.86,"$1,559,882","$11,257,000"
Adam Scott,7,13.86,"$1,352,834","$9,764,000"
Rafa Cabrera Bello,7,13.05,"$1,403,301","$10,753,000"
Keith Mitchell,11,12.82,"$1,882,554","$14,688,000"
Lucas Glover,9,12.56,"$1,372,193","$10,926,000"
Jon Rahm,7,11.91,"$1,154,950","$9,695,000"
Ryan Palmer,8,11.88,"$1,240,720","$10,440,000"
Kevin Tway,10,11.34,"$1,468,218","$12,946,000"
Webb Simpson,6,11.32,"$900,637","$7,959,000"
Sergio Garcia,3,11.09,"$477,086","$4,301,000"
Andrew Putnam,9,11.09,"$1,349,343","$12,162,000"
Tommy Fleetwood,5,11.03,"$858,751","$7,783,000"
Ian Poulter,6,10.87,"$1,005,255","$9,245,000"
Cameron Champ,12,10.1,"$1,515,091","$14,998,000"
Adam Long,11,9.57,"$1,284,868","$13,428,000"
David Lipsky,1,9.26,"$161,500","$1,745,000"
Joost Luiten,1,9.26,"$161,500","$1,745,000"
Hideki Matsuyama,8,9.0,"$1,064,971","$11,833,000"
Si Woo Kim,11,8.98,"$1,314,417","$14,634,000"
Talor Gooch,8,8.97,"$834,536","$9,306,000"
Kiradech Aphibarnrat,8,8.87,"$1,016,530","$11,455,000"
Adam Hadwin,10,8.67,"$1,186,565","$13,688,000"
Branden Grace,8,8.51,"$993,755","$11,671,000"
Armando Favela,1,8.33,"$108,000","$1,296,000"
Cameron Smith,9,8.31,"$1,054,017","$12,679,000"
Danny Lee,10,8.15,"$1,048,638","$12,870,000"
Chez Reavie,11,7.94,"$1,195,770","$15,055,000"
Michael Thompson,9,7.94,"$901,288","$11,358,000"
Bubba Watson,6,7.9,"$667,408","$8,445,000"
Tiger Woods,3,7.86,"$342,092","$4,355,000"
Matt Wallace,4,7.81,"$492,348","$6,307,000"
Scott Piercy,12,7.78,"$1,222,003","$15,700,000"
Jim Furyk,6,7.62,"$581,520","$7,632,000"
Sungjae Im,14,7.56,"$1,338,332","$17,694,000"
Luke List,9,7.55,"$862,078","$11,412,000"
