PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Rory McIlroy,24,2.585,49.118,42.292,6.824,19
Dustin Johnson,20,2.54,35.566,23.269000000000002,12.297,14
Justin Thomas,32,2.2969999999999997,55.136,50.768,4.369,24
Xander Schauffele,32,2.204,41.88399999999999,26.573,15.31,19
Patrick Cantlay,26,1.876,35.64,31.252,4.387,19
Lucas Glover,34,1.7630000000000001,51.131,38.152,12.979000000000001,29
Charles Howell III,42,1.734,48.538999999999994,28.89,19.648,28
Jason Day,20,1.7009999999999998,15.307,7.742999999999999,7.563,9
Rafa Cabrera Bello,28,1.6369999999999998,22.910999999999998,10.029,12.880999999999998,14
Tommy Fleetwood,20,1.5830000000000002,22.162,22.66,-0.498,14
Matthew Fitzpatrick,15,1.57,14.128,13.537,0.59,9
Gary Woodland,39,1.551,40.329,42.825,-2.495,26
Talor Gooch,25,1.474,28.0,22.362,5.6370000000000005,19
Jason Kokrak,36,1.463,36.578,41.007,-4.428999999999999,25
Hideki Matsuyama,32,1.444,33.219,46.907,-13.689,23
Luke List,29,1.4380000000000002,33.079,33.815,-0.736,23
Rickie Fowler,28,1.4369999999999998,33.062,12.76,20.3,23
Cameron Smith,34,1.347,28.294,14.672,13.620999999999999,21
Jon Rahm,28,1.31,27.514,24.188000000000002,3.324,21
Michael Thompson,32,1.304,33.915,19.773,14.140999999999998,26
Sungjae Im,49,1.296,47.96,45.49,2.469,37
Matt Wallace,16,1.2930000000000001,15.519,10.753,4.766,12
Bryson DeChambeau,24,1.27,30.471,23.724,6.747000000000001,24
Webb Simpson,24,1.2329999999999999,28.364,26.023000000000003,2.3409999999999997,23
D.J. Trahan,19,1.2109999999999999,13.323,14.232000000000001,-0.909,11
Ryan Moore,30,1.177,22.358,13.923,8.434,19
Matt Kuchar,32,1.176,30.566,28.552,2.0140000000000002,26
Marc Leishman,32,1.168,26.857,19.057000000000002,7.7989999999999995,23
Ian Poulter,24,1.1540000000000001,18.465999999999998,18.095,0.371,16
Adam Scott,23,1.1520000000000001,13.819,5.525,8.294,12
Paul Casey,30,1.1440000000000001,18.3,22.92,-4.618,16
Jim Furyk,20,1.123,14.6,11.595,3.005,13
Tony Finau,30,1.082,20.551,17.641,2.909,19
Justin Rose,16,1.057,9.511000000000001,8.003,1.506,9
Si Woo Kim,38,1.026,21.549,8.704,12.844000000000001,21
Ryan Palmer,30,1.021,17.359,11.023,6.334,17
Byeong Hun An,28,0.9740000000000001,15.577,27.619,-12.042,16
Phil Mickelson,24,0.9640000000000001,19.289,16.9,2.388,20
Francesco Molinari,16,0.9520000000000001,11.42,3.4,8.019,12
Tyrrell Hatton,22,0.917,12.838,10.687999999999999,2.149,14
