PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
Justin Thomas,16,"$5,858,980",2.0
Dustin Johnson,12,"$5,599,752",2.0
Bubba Watson,16,"$5,121,848",3.0
Justin Rose,12,"$5,007,303",2.0
Patrick Reed,19,"$4,486,125",1.0
Bryson DeChambeau,19,"$4,462,598",1.0
Jason Day,13,"$4,347,887",2.0
Brooks Koepka,9,"$4,034,417",1.0
Phil Mickelson,17,"$3,955,082",1.0
Webb Simpson,18,"$3,727,442",1.0
Tony Finau,20,"$3,394,142",
Rickie Fowler,15,"$3,344,197",
Marc Leishman,18,"$3,253,721",
Patton Kizzire,22,"$3,246,531",2.0
Paul Casey,13,"$3,194,620",1.0
Jon Rahm,13,"$3,070,168",1.0
Patrick Cantlay,16,"$2,975,539",1.0
Kevin Na,19,"$2,875,480",1.0
Tommy Fleetwood,11,"$2,738,680",
Chesson Hadley,24,"$2,712,658",
Pat Perez,17,"$2,701,828",1.0
Rory McIlroy,12,"$2,649,063",1.0
Brian Harman,19,"$2,601,490",
Aaron Wise,23,"$2,563,642",1.0
Luke List,23,"$2,534,209",
Andrew Landry,21,"$2,481,525",1.0
Xander Schauffele,20,"$2,433,710",
Henrik Stenson,10,"$2,412,647",
Alex Noren,12,"$2,411,126",
Chez Reavie,22,"$2,370,611",
Kyle Stanley,19,"$2,365,361",
Francesco Molinari,14,"$2,359,079",1.0
Ian Poulter,13,"$2,324,927",1.0
Beau Hossler,23,"$2,313,686",
Ryan Armour,25,"$2,231,789",1.0
Austin Cook,23,"$2,204,059",1.0
Brendan Steele,15,"$2,189,548",1.0
Cameron Smith,17,"$2,158,880",
Gary Woodland,19,"$2,081,964",1.0
Jordan Spieth,17,"$2,080,394",
Emiliano Grillo,19,"$2,077,661",
Charles Howell III,23,"$2,065,935",
Si Woo Kim,23,"$1,960,648",
Jimmy Walker,18,"$1,920,919",
Kevin Kisner,18,"$1,915,459",
Keegan Bradley,20,"$1,878,158",
Billy Horschel,19,"$1,877,438",1.0
Scott Piercy,21,"$1,817,919",1.0
Tiger Woods,11,"$1,817,712",
Byeong Hun An,17,"$1,804,374",
"Ted Potter, Jr.",23,"$1,800,458",1.0
Brian Gay,24,"$1,736,391",
J.J. Spaun,21,"$1,670,007",
Rafa Cabrera Bello,13,"$1,632,869",
Charl Schwartzel,16,"$1,602,147",
Ryan Moore,17,"$1,584,651",
Peter Uihlein,20,"$1,574,178",
J.B. Holmes,20,"$1,560,988",
Zach Johnson,19,"$1,546,171",
Chris Kirk,22,"$1,530,682",
Kevin Streelman,23,"$1,491,242",
Kelly Kraft,26,"$1,481,621",
Russell Henley,18,"$1,471,714",
Adam Hadwin,19,"$1,470,858",
Keith Mitchell,24,"$1,462,762",
Jason Dufner,17,"$1,458,194",
Louis Oosthuizen,12,"$1,442,707",
Hideki Matsuyama,13,"$1,410,799",
Andrew Putnam,22,"$1,398,585",
Branden Grace,13,"$1,374,679",
Satoshi Kodaira,12,"$1,346,646",1.0
Jason Kokrak,22,"$1,333,937",
James Hahn,21,"$1,330,100",
Whee Kim,24,"$1,328,232",
Michael Kim,23,"$1,325,986",1.0
Matt Kuchar,18,"$1,324,997",
Daniel Berger,17,"$1,289,197",
Russell Knox,22,"$1,287,492",
Stewart Cink,20,"$1,268,748",
Jamie Lovemark,21,"$1,254,884",
Tom Hoge,26,"$1,251,742",
Tyrrell Hatton,10,"$1,251,079",
Joel Dahmen,23,"$1,241,168",
Patrick Rodgers,27,"$1,226,340",
Sung Kang,25,"$1,188,069",
Anirban Lahiri,19,"$1,182,100",
Brice Garnett,25,"$1,164,266",1.0
Kevin Chappell,18,"$1,153,419",
Alex Cejka,20,"$1,144,219",
Trey Mullinax,21,"$1,135,735",
Ollie Schniederjans,21,"$1,133,153",
Nick Watney,21,"$1,128,720",
Abraham Ancer,24,"$1,099,930",
Kevin Tway,26,"$1,098,994",
Harold Varner III,24,"$1,089,974",
Brandt Snedeker,19,"$1,088,986",
Charley Hoffman,19,"$1,079,866",
Grayson Murray,20,"$1,056,628",
Ryan Palmer,17,"$1,055,576",
Brandon Harkins,26,"$1,033,925",
Sean O'Hair,19,"$1,032,863",
Scott Brown,27,"$1,013,788",
Scott Stallings,25,"$1,009,481",
Rory Sabbatini,24,"$991,397",
Bronson Burgoon,19,"$961,726",
John Huh,26,"$959,906",
Adam Scott,15,"$955,712",
Martin Laird,18,"$932,695",
Ryan Blaum,24,"$911,848",
Danny Lee,25,"$910,436",
Brian Stuard,26,"$904,510",
Bud Cauley,17,"$900,591",
Jhonattan Vegas,20,"$879,510",
Vaughn Taylor,21,"$870,491",
Sam Ryder,22,"$849,186",
Tyler Duncan,27,"$848,488",
C.T. Pan,25,"$847,497",
Sam Saunders,22,"$836,781",
Martin Piller,24,"$820,499",
Richy Werenski,28,"$806,060",
J.T. Poston,18,"$800,661",
Lucas Glover,18,"$789,382",
Sergio Garcia,10,"$766,704",
Tyrone Van Aswegen,27,"$748,284",
Seamus Power,23,"$717,614",
Corey Conners,24,"$711,781",
William McGirt,21,"$686,544",
Troy Merritt,22,"$682,357",
Harris English,26,"$679,086",
Nick Taylor,25,"$675,237",
Talor Gooch,24,"$646,890",
Aaron Baddeley,23,"$641,900",
Robert Garrigus,23,"$638,897",
Derek Fathauer,25,"$633,912",
Ben Silverman,24,"$632,688",
Bill Haas,21,"$621,899",
Ben Crane,18,"$620,646",
Nicholas Lindheim,22,"$579,228",
Steve Stricker,10,"$567,934",
David Lingmerth,22,"$547,876",
Retief Goosen,16,"$537,544",
Johnson Wagner,17,"$537,310",
Ben Martin,20,"$532,936",
Wesley Bryan,20,"$498,166",
Matt Jones,19,"$487,681",
