PLAYER NAME,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
Justin Thomas,32,69.202,2189,25.471,32
Patrick Cantlay,26,69.54,1792,16.032,26
Rickie Fowler,28,69.55,1933,14.394,28
Lucas Glover,34,69.561,2340,25.089,34
Jim Furyk,20,69.618,1388,4.350,20
Gary Woodland,39,69.66,2675,41.741,39
Xander Schauffele,32,69.732,2209,22.411,32
Matt Kuchar,32,69.768,2202,30.583,32
Rory McIlroy,24,69.774,1670,4.564,24
Tony Finau,30,69.77600000000001,2079,14.287,30
Dustin Johnson,20,69.79,1391,4.807,20
Webb Simpson,24,69.825,1655,20.795,24
Talor Gooch,25,69.87,1729,17.740,25
Justin Rose,16,69.943,1112,7.082,16
Tommy Fleetwood,20,69.961,1404,- 4.788,20
Michael Thompson,32,69.994,2225,14.801,32
Phil Mickelson,24,70.006,1666,14.133,24
Charles Howell III,42,70.03699999999999,2892,49.546,42
Hideki Matsuyama,32,70.04899999999999,2234,7.572,32
Rafa Cabrera Bello,28,70.061,1955,6.708,28
Bryson DeChambeau,24,70.064,1663,18.527,24
Paul Casey,30,70.09,2082,20.686,30
Jason Day,20,70.095,1389,12.890,20
Jon Rahm,28,70.11,1945,18.075,28
Marc Leishman,32,70.13600000000001,2215,29.359,32
Brooks Koepka,22,70.191,1541,3.210,22
Adam Scott,23,70.195,1613,1.490,23
Cameron Smith,34,70.291,2373,16.894,34
Sungjae Im,49,70.33,3405,41.168,49
Si Woo Kim,38,70.337,2629,43.805,38
Zach Johnson,24,70.41199999999999,1671,18.896,24
Harold Varner III,36,70.419,2502,33.083,36
Luke List,29,70.429,2022,20.430,29
Ryan Palmer,30,70.434,2084,29.022,30
Ian Poulter,24,70.447,1679,11.720,24
D.J. Trahan,19,70.513,1318,21.755,19
Kevin Kisner,30,70.521,2087,28.629,30
Bud Cauley,33,70.54,2302,25.807,33
Tyrrell Hatton,22,70.561,1552,.346,22
Patrick Reed,28,70.568,1963,12.901,28
J.T. Poston,44,70.577,3075,30.391,44
Adam Hadwin,38,70.586,2660,22.264,38
Cameron Champ,41,70.59100000000001,2854,40.248,41
Aaron Baddeley,31,70.593,2171,17.372,31
Wyndham Clark,39,70.613,2720,33.914,39
Byeong Hun An,28,70.643,1971,7.001,28
Danny Lee,34,70.64399999999999,2371,30.898,34
Jason Kokrak,36,70.656,2513,30.620,36
Keith Mitchell,37,70.66,2587,27.419,37
Daniel Berger,18,70.684,1263,9.314,18
Nate Lashley,26,70.685,1813,24.818,26
Dominic Bozzelli,33,70.688,2291,41.717,33
Scott Piercy,44,70.703,3056,54.935,44
Kiradech Aphibarnrat,26,70.709,1832,6.442,26
Roberto Castro,34,70.714,2373,31.263,34
Emiliano Grillo,38,70.745,2661,27.322,38
Matt Every,18,70.75,1261,12.491,18
Trey Mullinax,34,70.762,2375,30.922,34
Vaughn Taylor,38,70.774,2663,26.396,38
Johnson Wagner,33,70.795,2314,22.249,33
Chez Reavie,42,70.797,2935,38.466,42
Sung Kang,41,70.801,2880,22.828,41
Bubba Watson,22,70.812,1548,9.864,22
Adam Schenk,50,70.818,3504,36.902,50
Abraham Ancer,38,70.821,2646,45.191,38
Russell Knox,34,70.821,2391,16.911,34
Jhonattan Vegas,34,70.82300000000001,2382,25.990,34
Denny McCarthy,31,70.859,2160,36.644,31
Keegan Bradley,36,70.863,2529,22.052,36
Andrew Putnam,32,70.869,2235,32.820,32
Scott Brown,40,70.872,2804,30.864,40
Sam Ryder,40,70.878,2793,42.114,40
Nick Taylor,38,70.888,2664,29.762,38
Jonathan Byrd,23,70.893,1604,26.540,23
J.B. Holmes,31,70.903,2171,27.001,31
Scott Langley,38,70.904,2657,37.370,38
Peter Malnati,31,70.93,2179,19.822,31
Patrick Rodgers,39,70.941,2743,23.707,39
Ryan Armour,40,70.95100000000001,2796,42.028,40
Brian Gay,45,70.976,3148,45.912,45
Russell Henley,32,70.98100000000001,2247,24.407,32
Graeme McDowell,29,70.98100000000001,2038,20.438,29
Julián Etulain,34,71.005,2393,21.162,34
Nick Watney,37,71.042,2585,43.545,37
Cameron Davis,38,71.047,2672,27.767,38
Martin Kaymer,14,71.057,1000,- 5.204,14
Corey Conners,28,71.06,1961,28.668,28
Jonas Blixt,36,71.067,2539,19.408,36
Louis Oosthuizen,16,71.067,1123,14.074,16
Ernie Els,30,71.07300000000001,2108,24.196,30
Billy Horschel,40,71.084,2818,25.373,40
Hudson Swafford,39,71.093,2733,39.638,39
Dylan Frittelli,27,71.11,1899,20.965,27
Joel Dahmen,40,71.134,2802,43.357,40
Hank Lebioda,29,71.149,2040,23.317,29
Carlos Ortiz,38,71.154,2676,27.867,38
Richy Werenski,37,71.157,2597,35.803,37
Troy Merritt,22,71.16,1529,36.511,22
Roger Sloan,39,71.163,2748,27.352,39
Max Homa,33,71.172,2330,18.660,33
Kevin Tway,32,71.186,2242,35.945,32
Patton Kizzire,35,71.195,2459,32.821,35
Aaron Wise,27,71.20100000000001,1891,31.418,27
Davis Love III,23,71.229,1609,29.257,23
Chase Wright,36,71.232,2535,29.356,36
Harris English,42,71.234,2952,39.818,42
C.T. Pan,38,71.235,2679,27.936,38
J.J. Spaun,43,71.242,3015,48.418,43
Martin Laird,32,71.251,2253,27.047,32
Jordan Spieth,24,71.26,1693,17.249,24
Matt Jones,37,71.26100000000001,2606,30.650,37
Chesson Hadley,36,71.271,2535,30.750,36
Kyoung-Hoon Lee,40,71.27199999999999,2821,29.860,40
Sebastián Muñoz,38,71.288,2673,35.941,38
Adam Svensson,35,71.294,2470,25.283,35
Rory Sabbatini,31,71.296,2181,29.178,31
Brian Stuard,44,71.298,3098,39.100,44
José de Jesús Rodríguez,35,71.32300000000001,2461,35.296,35
Austin Cook,24,71.334,1690,22.011,24
Adam Long,29,71.343,2056,12.955,29
Anders Albertson,35,71.345,2462,35.080,35
Stewart Cink,25,71.345,1763,20.631,25
Fabián Gómez,30,71.36,2110,30.811,30
Joaquin Niemann,40,71.373,2821,33.937,40
Ben Silverman,30,71.378,2118,23.352,30
Beau Hossler,38,71.382,2672,40.530,38
Sam Saunders,35,71.385,2471,27.483,35
Ryan Blaum,45,71.395,3173,39.789,45
Francesco Molinari,16,71.40899999999999,1140,2.547,16
Brice Garnett,37,71.421,2601,41.563,37
Branden Grace,28,71.436,1984,16.204,28
Chris Kirk,35,71.446,2468,32.593,35
Cameron Tringale,28,71.514,1984,18.399,28
Ryan Moore,30,71.527,2117,28.803,30
Kelly Kraft,31,71.529,2190,27.385,31
Stephan Jaeger,37,71.536,2616,30.831,37
Bronson Burgoon,27,71.581,1910,22.695,27
Martin Trainer,32,71.582,2270,20.608,32
Kevin Na,28,71.58800000000001,1992,12.456,28
Pat Perez,33,71.597,2338,24.688,33
Kramer Hickok,37,71.59899999999999,2623,26.173,37
Jamie Lovemark,22,71.613,1537,38.483,22
Brandt Snedeker,39,71.625,2763,30.386,39
Anirban Lahiri,29,71.62899999999999,2047,30.228,29
Sam Burns,35,71.632,2476,31.116,35
Kevin Streelman,37,71.64399999999999,2624,26.834,37
James Hahn,34,71.655,2391,45.253,34
Hunter Mahan,36,71.66,2554,25.765,36
Josh Teater,27,71.668,1906,29.033,27
Charl Schwartzel,20,71.689,1421,12.780,20
Alex Prugh,33,71.71300000000001,2335,31.541,33
Shawn Stefani,31,71.717,2199,24.227,31
Alex Noren,20,71.721,1433,1.417,20
David Hearn,25,71.725,1769,24.121,25
Jim Knous,31,71.749,2208,16.208,31
Brandon Harkins,37,71.767,2621,34.388,37
Roberto Díaz,25,71.77,1770,24.240,25
Danny Willett,23,71.777,1634,16.875,23
Robert Streb,38,71.778,2690,37.553,38
Bill Haas,33,71.797,2349,20.287,33
Sean O'Hair,23,71.84100000000001,1621,31.350,23
Tom Hoge,40,71.842,2834,39.661,40
Chris Stroud,28,71.865,1986,26.206,28
Scott Stallings,33,71.885,2340,32.205,33
John Huh,33,71.922,2349,24.436,33
Tom Lovelady,17,71.923,1207,15.695,17
Nicholas Lindheim,14,71.931,990,17.037,14
Andrew Landry,30,71.938,2127,31.144,30
Wes Roach,28,71.939,1982,32.280,28
Ben Crane,24,71.941,1710,16.583,24
Jimmy Walker,31,71.997,2215,16.904,31
Martin Piller,20,72.061,1421,20.224,20
Seth Reeves,34,72.092,2414,37.120,34
Sepp Straka,26,72.092,1861,13.382,26
Sangmoon Bae,26,72.093,1849,25.417,26
Kyle Stanley,30,72.097,2148,14.914,30
Tyler Duncan,41,72.101,2919,37.125,41
Freddie Jacobson,23,72.101,1654,4.320,23
Charley Hoffman,26,72.12,1860,15.119,26
Alex Cejka,25,72.12100000000001,1779,24.023,25
Curtis Luck,28,72.139,1995,24.905,28
Mackenzie Hughes,26,72.16199999999999,1860,16.218,26
Peter Uihlein,33,72.17699999999999,2341,40.840,33
Derek Fathauer,16,72.186,1138,16.973,16
Brendan Steele,30,72.197,2137,28.914,30
J.J. Henry,22,72.214,1575,13.701,22
John Senden,23,72.241,1641,20.548,23
Jason Dufner,31,72.248,2205,34.682,31
Jim Herman,21,72.29,1496,22.099,21
Whee Kim,41,72.312,2923,41.801,41
"Ted Potter, Jr.",33,72.317,2352,34.467,33
Brandon Hagy,17,72.32600000000001,1214,15.540,17
Brian Harman,35,72.33,2510,21.559,35
Kyle Jones,33,72.378,2359,29.479,33
Brady Schnell,24,72.449,1719,19.779,24
Ollie Schniederjans,38,72.449,2709,44.057,38
Grayson Murray,28,72.48100000000001,2015,14.455,28
D.A. Points,26,72.53,1867,18.787,26
Tyrone Van Aswegen,16,72.624,1153,8.984,16
Satoshi Kodaira,32,72.76899999999999,2304,24.599,32
John Chin,28,72.783,2009,28.913,28
Ricky Barnes,13,72.793,942,4.314,13
Joey Garber,24,72.848,1729,19.343,24
Cody Gribble,30,72.874,2161,25.225,30
Chris Thompson,24,72.88,1727,22.120,24
Robert Garrigus,20,72.968,1445,14.369,20
Chad Campbell,13,72.97,942,6.611,13
Chad Collins,18,73.042,1298,16.761,18
Rod Pampling,22,73.307,1597,15.754,22
Michael Kim,33,73.41199999999999,2392,30.587,33
Seamus Power,27,73.601,1964,23.225,27
