PLAYER NAME,EVENTS,TOTAL RNDS
Charles Howell III,11,30
Sungjae Im,14,27
Gary Woodland,10,24
J.T. Poston,12,23
Chez Reavie,11,23
Cameron Champ,12,22
Si Woo Kim,11,22
Brian Gay,12,21
Lucas Glover,9,21
Scott Piercy,12,21
Cameron Smith,9,21
J.J. Spaun,12,21
Justin Thomas,8,21
Abraham Ancer,11,20
Sam Ryder,11,20
Xander Schauffele,8,20
Harold Varner III,11,20
Wyndham Clark,11,19
Tony Finau,8,19
Matt Kuchar,8,19
Adam Schenk,14,19
Vaughn Taylor,12,19
Ryan Armour,12,18
Keegan Bradley,9,18
Joel Dahmen,12,18
Harris English,12,18
Emiliano Grillo,10,18
Adam Hadwin,10,18
Beau Hossler,11,18
Jason Kokrak,9,18
Danny Lee,10,18
Marc Leishman,8,18
Talor Gooch,8,17
J.B. Holmes,9,17
Matt Jones,11,17
Sung Kang,12,17
Whee Kim,14,17
Keith Mitchell,11,17
Sebastián Muñoz,11,17
Michael Thompson,9,17
Nick Watney,10,17
Dominic Bozzelli,10,16
Scott Brown,12,16
Roberto Castro,9,16
Bud Cauley,10,16
Rickie Fowler,7,16
Kramer Hickok,12,16
Scott Langley,12,16
Carlos Ortiz,12,16
Andrew Putnam,9,16
Rory Sabbatini,9,16
Brian Stuard,13,16
Hudson Swafford,11,16
Richy Werenski,11,16
Rafa Cabrera Bello,7,15
Patrick Cantlay,7,15
Cameron Davis,11,15
Russell Henley,10,15
Russell Knox,9,15
Kyoung-Hoon Lee,13,15
Hideki Matsuyama,8,15
Denny McCarthy,10,15
Joaquin Niemann,11,15
Pat Perez,10,15
Jon Rahm,7,15
Patrick Rodgers,12,15
Sam Saunders,11,15
Roger Sloan,12,15
Jhonattan Vegas,10,15
Aaron Baddeley,9,14
Ryan Blaum,13,14
Jonas Blixt,11,14
Bryson DeChambeau,6,14
Brice Garnett,12,14
Fabián Gómez,9,14
Billy Horschel,10,14
Kevin Kisner,8,14
Patton Kizzire,10,14
Martin Laird,10,14
Peter Malnati,10,14
Phil Mickelson,7,14
Ryan Palmer,8,14
C.T. Pan,11,14
Webb Simpson,6,14
Brandt Snedeker,10,14
Robert Streb,13,14
Paul Casey,8,13
Corey Conners,10,13
Chesson Hadley,11,13
Max Homa,11,13
Chris Kirk,12,13
Kelly Kraft,11,13
Luke List,9,13
Rory McIlroy,6,13
Ian Poulter,6,13
Seth Reeves,11,13
Adam Svensson,11,13
Johnson Wagner,9,13
Anders Albertson,12,12
Byeong Hun An,7,12
Sam Burns,12,12
Jonathan Byrd,6,12
James Hahn,10,12
Brandon Harkins,12,12
Tom Hoge,14,12
Andrew Landry,10,12
Nate Lashley,7,12
Hank Lebioda,9,12
Jamie Lovemark,7,12
Hunter Mahan,12,12
Trey Mullinax,10,12
"Ted Potter, Jr.",10,12
Patrick Reed,7,12
José de Jesús Rodríguez,11,12
Ollie Schniederjans,13,12
Ben Silverman,9,12
Scott Stallings,10,12
Chris Stroud,10,12
Nick Taylor,11,12
Kevin Tway,10,12
Chase Wright,12,12
Jason Day,6,11
Tyler Duncan,13,11
Julián Etulain,10,11
Brian Harman,11,11
Dustin Johnson,5,11
Anirban Lahiri,9,11
Graeme McDowell,8,11
Troy Merritt,6,11
Alex Prugh,11,11
Martin Trainer,11,11
Jimmy Walker,9,11
Kiradech Aphibarnrat,8,10
Ernie Els,8,10
Jim Furyk,6,10
Branden Grace,8,10
Bill Haas,10,10
David Hearn,8,10
John Huh,12,10
Stephan Jaeger,12,10
Brooks Koepka,6,10
Sean O'Hair,9,10
Jordan Spieth,7,10
Kevin Streelman,12,10
D.J. Trahan,5,10
Peter Uihlein,11,10
Aaron Wise,8,10
Sangmoon Bae,10,9
Bronson Burgoon,10,9
Stewart Cink,8,9
Austin Cook,8,9
Matt Every,5,9
Zach Johnson,7,9
Jim Knous,10,9
Adam Long,11,9
Davis Love III,6,9
Kevin Na,8,9
Justin Rose,4,9
Adam Scott,7,9
Shawn Stefani,11,9
Josh Teater,10,9
Daniel Berger,6,8
Ben Crane,8,8
Roberto Díaz,9,8
Jason Dufner,11,8
Tommy Fleetwood,5,8
Dylan Frittelli,8,8
Kyle Jones,12,8
Ryan Moore,9,8
Wes Roach,9,8
Brendan Steele,10,8
Cameron Tringale,8,8
Bubba Watson,6,8
John Catlin,5,7
Alex Cejka,10,7
Sergio Garcia,3,7
Jim Herman,9,7
Louis Oosthuizen,5,7
Kyle Stanley,10,7
Sepp Straka,9,7
Kevin Chappell,3,6
John Chin,10,6
Derek Fathauer,5,6
Joey Garber,9,6
Tyrrell Hatton,6,6
J.J. Henry,8,6
Charley Hoffman,9,6
Mackenzie Hughes,10,6
Alex Noren,6,6
Martin Piller,6,6
Brady Schnell,9,6
Brendon Todd,3,6
Matt Wallace,4,6
Danny Willett,7,6
Robert Garrigus,7,5
Cody Gribble,11,5
Freddie Jacobson,8,5
Michael Kim,12,5
Satoshi Kodaira,10,5
Curtis Luck,10,5
Steve Marino,4,5
Grayson Murray,10,5
Charl Schwartzel,7,5
John Senden,7,5
Stuart Appleby,3,4
Doug Ghim,4,4
Shugo Imahira,2,4
Nicholas Lindheim,5,4
Tom Lovelady,5,4
Dylan Meyer,2,4
Francesco Molinari,4,4
Rod Pampling,8,4
D.A. Points,9,4
Andres Romero,3,4
Shubhankar Sharma,4,4
Tyrone Van Aswegen,6,4
Tiger Woods,3,4
Shintaro Ban,2,3
Chad Collins,6,3
George Cunningham,2,3
Armando Favela,1,3
Matthew Fitzpatrick,4,3
Jason Gore,4,3
Brandon Hagy,7,3
Yuki Inamori,2,3
Martin Kaymer,4,3
HaoTong Li,3,3
David Lipsky,1,3
Will MacKenzie,3,3
Thorbjørn Olesen,3,3
Thomas Pieters,2,3
Steve Stricker,4,3
Norman Xiong,2,3
Y.E. Yang,1,3
Ricky Barnes,5,2
Gaganjeet Bhullar,2,2
Lucas Bjerregaard,3,2
Wesley Bryan,5,2
Chad Campbell,5,2
George Coetzee,2,2
Brian Davis,3,2
Brendon de Jonge,3,2
Martin Flores,1,2
Oscar Fraustro,1,2
Justin Harding,2,2
Lee Hodges,1,2
Sam Horsfield,2,2
Rikuya Hoshino,1,2
Billy Hurley III,2,2
Colt Knost,2,2
David Lingmerth,4,2
Joost Luiten,1,2
Parker McLachlin,3,2
Maverick McNealy,2,2
Doyeob Mun,1,2
Bryson Nimmer,1,2
Henrik Norlander,1,2
Sanghyun Park,4,2
