,PLAYER,playerSalary,status
0,Rufus Brijalba,1,available
1,J.J. Spaun,1,available
2,Jason Kokrak,1,available
3,Scott Brown,1,available
4,Brandon Harkins,1,available
5,Vaughn Taylor,1,available
6,Sam Saunders,1,available
7,Rory Sabbatini,1,available
8,Charley Hoffman,1,available
9,Sam Ryder,1,available
10,Ryan Blaum,1,available
11,Richy Werenski,1,available
12,Lucas Bjerregaard,1,available
13,Aaron Baddeley,1,available
14,Hunter Mahan,1,available
15,Luke List,1,available
16,Joaquin Niemann,1,available
17,Justin Harding,1,available
18,Ernie Els,1,available
19,Brian Harman,1,available
20,Jim Herman,1,available
21,Martin Kaymer,1,available
22,Jimmy Walker,1,available
23,Rickie Fowler,1,available
24,Andrew Landry,1,available
25,Davis Love III,1,available
26,Martin Trainer,1,available
27,Mackenzie Hughes,1,available
28,Tony Finau,1,available
29,Jim Furyk,1,available
30,Matt Kuchar,1,available
31,Austin Cook,1,available
32,D.A. Points,1,available
33,Ted Potter Jr.,1,available
34,Si Woo Kim,1,available
35,Kyle Stanley,1,available
36,Jonas Blixt,1,available
37,Brendan Steele,1,available
38,Grayson Murray,1,available
39,Chesson Hadley,1,available
40,Jonathan Byrd,1,available
41,Joel Dahmen,1,available
42,Seamus Power,1,available
43,J.T. Poston,1,available
44,George McNeill,1,available
45,Scott Stallings,1,available
46,John Senden,1,available
47,Shawn Stefani,1,available
48,Harris English,1,available
49,Cameron Tringale,1,available
50,Danny Lee,1,available
51,Kenny Perry,1,available
52,Alex Prugh,1,available
53,Brian Gay,1,available
54,Sung-jae Im,1,available
55,J.J. Henry,1,available
56,Fabian Gomez,1,available
57,Roberto Castro,1,available
58,Paul Barjon,1,available
59,Anders Albertson,1,available
60,Jim Knous,1,available
61,Brady Schnell,1,available
62,Kyle Jones,1,available
63,Sebastian Munoz,1,available
64,Jose de Jesus Rodriguez,1,available
65,Roland Thatcher,1,available
66,Seth Reeves,1,available
67,Wyndham Clark,1,available
68,Sam Burns,1,available
69,Carlos Ortiz,1,available
70,Kristoffer Ventura,1,available
71,Cameron Davis,1,available
72,Dylan Frittelli,1,available
73,Kevin Streelman,1,available
74,Freddie Jacobson,1,available
75,Scott Langley,1,available
76,Nick Taylor,1,available
77,Trey Mullinax,1,available
78,Corey Conners,1,available
79,Abraham Ancer,1,available
80,Li Haotong,1,available
81,Morgan Hoffmann,1,available
82,Padraig Harrington,1,available
83,Bud Cauley,1,available
84,Brian Stuard,1,available
85,Nick Watney,1,available
86,Kelly Kraft,1,available
87,C.T. Pan,1,available
88,Chris Kirk,1,available
89,Sung Kang,1,available
90,Ryan Moore,1,available
91,Jordan Spieth,1,available
92,Jhonattan Vegas,1,available
93,Billy Horschel,1,available
94,Cody Gribble,1,available
95,Daniel Berger,1,available
96,Luke Donald,1,available
97,Graeme McDowell,1,available
98,J.B. Holmes,1,available
99,Adam Long,1,available
100,Ryan Armour,1,available
101,Russell Henley,1,available
102,Hudson Swafford,1,available
103,Andrew Putnam,1,available
104,Chris Stroud,1,available
105,K.J. Choi,1,available
106,Smylie Kaufman,1,available
107,Rod Pampling,1,available
108,Kevin Tway,1,available
109,Josh Teater,1,available
110,Peter Uihlein,1,available
111,D.J. Trahan,1,available
112,Ryan Palmer,1,available
113,Tyler Duncan,1,available
114,Harold Varner III,1,available
115,Tom Hoge,1,available
116,Brandon Hagy,1,available
117,Lucas Glover,1,available
118,Peter Malnati,1,available
119,Beau Hossler,1,available
120,Ollie Schniederjans,1,available
121,Matt Jones,1,available
122,Byeong-Hun An,1,available
123,Adam Schenk,1,available
124,Martin Laird,1,available
125,Denny McCarthy,1,available
126,Robert Streb,1,available
127,Stephan Jaeger,1,available
128,Kyoung-Hoon Lee,1,available
129,Max Homa,1,available
130,Benjamin Silverman,1,available
131,Kramer Hickok,1,available
132,Adam Svensson,1,available
133,Zack Fischer,1,available
134,Julian Etulain,1,available
135,Scottie Scheffler,1,available
136,Hank Lebioda,1,available
137,Sepp Straka,1,available
138,Roberto Diaz,1,available
139,Chip McDaniel,1,available
140,Curtis Luck,1,available
141,Joost Luiten,1,available
142,Chase Wright,1,available
143,Roger Sloan,1,available
