,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Justin Thomas,32.0,69.202,2189.0,25.471,32.0,8.0,21.0,8.0,21.62,"$2,378,275","$11,001,000",32.0,2.2969999999999997,55.136,50.768,4.369,24.0
Patrick Cantlay,26.0,69.54,1792.0,16.032,26.0,7.0,15.0,7.0,16.47,"$1,569,277","$9,529,000",26.0,1.876,35.64,31.252,4.387,19.0
Rickie Fowler,28.0,69.55,1933.0,14.394,28.0,7.0,16.0,7.0,24.68,"$2,398,778","$9,719,000",28.0,1.4369999999999998,33.062,12.76,20.3,23.0
Lucas Glover,34.0,69.561,2340.0,25.089,34.0,9.0,21.0,9.0,12.56,"$1,372,193","$10,926,000",34.0,1.7630000000000001,51.131,38.152,12.979000000000001,29.0
Jim Furyk,20.0,69.618,1388.0,4.350,20.0,6.0,10.0,6.0,7.62,"$581,520","$7,632,000",20.0,1.123,14.6,11.595,3.005,13.0
Gary Woodland,39.0,69.66,2675.0,41.741,39.0,10.0,24.0,10.0,20.49,"$2,766,749","$13,503,000",39.0,1.551,40.329,42.825,-2.495,26.0
Xander Schauffele,32.0,69.732,2209.0,22.411,32.0,8.0,20.0,8.0,30.43,"$3,530,860","$11,603,000",32.0,2.204,41.88399999999999,26.573,15.31,19.0
Matt Kuchar,32.0,69.768,2202.0,30.583,32.0,8.0,19.0,8.0,28.25,"$3,031,933","$10,731,000",32.0,1.176,30.566,28.552,2.0140000000000002,26.0
Rory McIlroy,24.0,69.774,1670.0,4.564,24.0,6.0,13.0,6.0,25.91,"$2,330,008","$8,993,000",24.0,2.585,49.118,42.292,6.824,19.0
Tony Finau,30.0,69.77600000000001,2079.0,14.287,30.0,8.0,19.0,8.0,13.86,"$1,559,882","$11,257,000",30.0,1.082,20.551,17.641,2.909,19.0
Dustin Johnson,20.0,69.79,1391.0,4.807,20.0,5.0,11.0,5.0,31.21,"$2,323,352","$7,445,000",20.0,2.54,35.566,23.269000000000002,12.297,14.0
Webb Simpson,24.0,69.825,1655.0,20.795,24.0,6.0,14.0,6.0,11.32,"$900,637","$7,959,000",24.0,1.2329999999999999,28.364,26.023000000000003,2.3409999999999997,23.0
Talor Gooch,25.0,69.87,1729.0,17.740,25.0,8.0,17.0,8.0,8.97,"$834,536","$9,306,000",25.0,1.474,28.0,22.362,5.6370000000000005,19.0
Justin Rose,16.0,69.943,1112.0,7.082,16.0,4.0,9.0,4.0,33.71,"$1,914,269","$5,678,000",16.0,1.057,9.511000000000001,8.003,1.506,9.0
Tommy Fleetwood,20.0,69.961,1404.0,- 4.788,20.0,5.0,8.0,5.0,11.03,"$858,751","$7,783,000",20.0,1.5830000000000002,22.162,22.66,-0.498,14.0
Michael Thompson,32.0,69.994,2225.0,14.801,32.0,9.0,17.0,9.0,7.94,"$901,288","$11,358,000",32.0,1.304,33.915,19.773,14.140999999999998,26.0
Phil Mickelson,24.0,70.006,1666.0,14.133,24.0,7.0,14.0,7.0,21.62,"$2,070,480","$9,575,000",24.0,0.9640000000000001,19.289,16.9,2.388,20.0
Charles Howell III,42.0,70.03699999999999,2892.0,49.546,42.0,11.0,30.0,11.0,16.04,"$2,394,599","$14,925,000",42.0,1.734,48.538999999999994,28.89,19.648,28.0
Hideki Matsuyama,32.0,70.04899999999999,2234.0,7.572,32.0,8.0,15.0,8.0,9.0,"$1,064,971","$11,833,000",32.0,1.444,33.219,46.907,-13.689,23.0
Rafa Cabrera Bello,28.0,70.061,1955.0,6.708,28.0,7.0,15.0,7.0,13.05,"$1,403,301","$10,753,000",28.0,1.6369999999999998,22.910999999999998,10.029,12.880999999999998,14.0
Bryson DeChambeau,24.0,70.064,1663.0,18.527,24.0,6.0,14.0,6.0,21.62,"$1,821,679","$8,427,000",24.0,1.27,30.471,23.724,6.747000000000001,24.0
Paul Casey,30.0,70.09,2082.0,20.686,30.0,8.0,13.0,8.0,15.79,"$1,826,473","$11,567,000",30.0,1.1440000000000001,18.3,22.92,-4.618,16.0
Jason Day,20.0,70.095,1389.0,12.890,20.0,6.0,11.0,6.0,13.94,"$1,253,883","$8,994,000",20.0,1.7009999999999998,15.307,7.742999999999999,7.563,9.0
Jon Rahm,28.0,70.11,1945.0,18.075,28.0,7.0,15.0,7.0,11.91,"$1,154,950","$9,695,000",28.0,1.31,27.514,24.188000000000002,3.324,21.0
Marc Leishman,32.0,70.13600000000001,2215.0,29.359,32.0,8.0,18.0,8.0,21.64,"$2,470,106","$11,415,000",32.0,1.168,26.857,19.057000000000002,7.7989999999999995,23.0
Brooks Koepka,22.0,70.191,1541.0,3.210,22.0,6.0,10.0,6.0,27.77,"$2,587,400","$9,317,000",22.0,0.569,7.972,13.456,-5.483,14.0
Adam Scott,23.0,70.195,1613.0,1.490,23.0,7.0,9.0,7.0,13.86,"$1,352,834","$9,764,000",23.0,1.1520000000000001,13.819,5.525,8.294,12.0
Cameron Smith,34.0,70.291,2373.0,16.894,34.0,9.0,21.0,9.0,8.31,"$1,054,017","$12,679,000",34.0,1.347,28.294,14.672,13.620999999999999,21.0
Sungjae Im,49.0,70.33,3405.0,41.168,49.0,14.0,27.0,14.0,7.56,"$1,338,332","$17,694,000",49.0,1.296,47.96,45.49,2.469,37.0
Si Woo Kim,38.0,70.337,2629.0,43.805,38.0,11.0,22.0,11.0,8.98,"$1,314,417","$14,634,000",38.0,1.026,21.549,8.704,12.844000000000001,21.0
Zach Johnson,24.0,70.41199999999999,1671.0,18.896,24.0,7.0,9.0,7.0,3.54,"$311,255","$8,802,000",24.0,0.848,16.111,14.100999999999999,2.01,19.0
