Index,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
153,301+,Ashton Turner,1,available,T16,-2,-2,F,69,--,--,--,69
22,22,Louis Oosthuizen,4,available,T20,-1,-1,F,70,--,--,--,70
65,68,Ryan Palmer,2,available,T94,+3,+3,F,74,--,--,--,74
51,52,Kiradech Aphibarnrat,2,available,T3,-3,-3,F,68,--,--,--,68
70,73,Russell Knox,2,available,T20,-1,-1,F,70,--,--,--,70
41,42,Cameron Smith,3,available,T20,-1,-1,F,70,--,--,--,70
104,133,Patton Kizzire,1,available,T72,+2,+2,F,73,--,--,--,73
146,301+,Doyeob Mun,1,available,T94,+3,+3,F,74,--,--,--,74
6,6,Bryson DeChambeau,6,available,T94,+3,+3,F,74,--,--,--,74
138,301+,Miguel Angel Jimenez,1,available,152,+11,+11,F,82,--,--,--,82
155,301+,Andrew Wilson,1,available,T128,+5,+5,F,76,--,--,--,76
21,21,Bubba Watson,4,available,T54,+1,+1,F,72,--,--,--,72
110,150,Oliver Wilson,1,available,T72,+2,+2,F,73,--,--,--,73
59,62,Jorge Campillo,2,available,T128,+5,+5,F,76,--,--,--,76
20,20,Tommy Fleetwood,5,available,T3,-3,-3,F,68,--,--,--,68
129,301+,Isidro Benitez,1,available,T113,+4,+4,F,75,--,--,--,75
42,43,Tyrrell Hatton,3,available,T3,-3,-3,F,68,--,--,--,68
34,34,Rafael Cabrera Bello,3,available,T72,+2,+2,F,73,--,--,--,73
152,301+,Thomas Thurloway (a),1,available,T153,+12,+12,F,83,--,--,--,83
46,47,Alexander Noren,2,available,T3,-3,-3,F,68,--,--,--,68
33,33,Shane Lowry,3,available,2,-4,-4,F,67,--,--,--,67
120,229,Dimitrios Papadatos,1,available,T153,+12,+12,F,83,--,--,--,83
10,10,Patrick Cantlay,6,available,T20,-1,-1,F,70,--,--,--,70
86,92,Dylan Frittelli,1,available,T3,-3,-3,F,68,--,--,--,68
85,91,Brian Harman,1,available,T54,+1,+1,F,72,--,--,--,72
58,61,Sung-jae Im,2,available,T42,E,E,F,71,--,--,--,71
74,77,Andrea Pavan,2,available,T72,+2,+2,F,73,--,--,--,73
