PLAYER,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
J.B. Holmes,1,-5,-5,F,66,--,--,--,66
Shane Lowry,2,-4,-4,F,67,--,--,--,67
Alexander Noren,T3,-3,-3,F,68,--,--,--,68
Webb Simpson,T3,-3,-3,F,68,--,--,--,68
Sergio Garcia,T3,-3,-3,F,68,--,--,--,68
Dylan Frittelli,T3,-3,-3,F,68,--,--,--,68
Robert MacIntyre,T3,-3,-3,F,68,--,--,--,68
Kiradech Aphibarnrat,T3,-3,-3,F,68,--,--,--,68
Ryan Fox,T3,-3,-3,F,68,--,--,--,68
Tyrrell Hatton,T3,-3,-3,F,68,--,--,--,68
Tommy Fleetwood,T3,-3,-3,F,68,--,--,--,68
Brooks Koepka,T3,-3,-3,F,68,--,--,--,68
Lee Westwood,T3,-3,-3,F,68,--,--,--,68
Tony Finau,T3,-3,-3,F,68,--,--,--,68
Jon Rahm,T3,-3,-3,F,68,--,--,--,68
Romain Langasque,T16,-2,-2,F,69,--,--,--,69
Justin Rose,T16,-2,-2,F,69,--,--,--,69
Sang-hyun Park,T16,-2,-2,F,69,--,--,--,69
Ashton Turner,T16,-2,-2,F,69,--,--,--,69
Charley Hoffman,T20,-1,-1,F,70,--,--,--,70
Andrew Putnam,T20,-1,-1,F,70,--,--,--,70
Eddie Pepperell,T20,-1,-1,F,70,--,--,--,70
Branden Grace,T20,-1,-1,F,70,--,--,--,70
Henrik Stenson,T20,-1,-1,F,70,--,--,--,70
Russell Knox,T20,-1,-1,F,70,--,--,--,70
Bernd Wiesberger,T20,-1,-1,F,70,--,--,--,70
Rickie Fowler,T20,-1,-1,F,70,--,--,--,70
Kevin Kisner,T20,-1,-1,F,70,--,--,--,70
Si Woo Kim,T20,-1,-1,F,70,--,--,--,70
Callum Shinkwin,T20,-1,-1,F,70,--,--,--,70
Rory Sabbatini,T20,-1,-1,F,70,--,--,--,70
Erik van Rooyen,T20,-1,-1,F,70,--,--,--,70
Shubhankar Sharma,T20,-1,-1,F,70,--,--,--,70
Louis Oosthuizen,T20,-1,-1,F,70,--,--,--,70
Jordan Spieth,T20,-1,-1,F,70,--,--,--,70
Cameron Smith,T20,-1,-1,F,70,--,--,--,70
Lucas Bjerregaard,T20,-1,-1,F,70,--,--,--,70
Jason Day,T20,-1,-1,F,70,--,--,--,70
Matt Kuchar,T20,-1,-1,F,70,--,--,--,70
Patrick Cantlay,T20,-1,-1,F,70,--,--,--,70
Yuki Inamori,T20,-1,-1,F,70,--,--,--,70
James Sugrue (a),T42,E,E,F,71,--,--,--,71
Darren Clarke,T42,E,E,F,71,--,--,--,71
Zander Lombard,T42,E,E,F,71,--,--,--,71
Matthew Fitzpatrick,T42,E,E,F,71,--,--,--,71
Sung-jae Im,T42,E,E,F,71,--,--,--,71
Hideki Matsuyama,T42,E,E,F,71,--,--,--,71
Mikumu Horikawa,T42,E,E,F,71,--,--,--,71
Justin Thomas,T42,E,E,F,71,--,--,--,71
Justin Harding,T42,E,E,F,71,--,--,--,71
Ernie Els,T42,E,E,F,71,--,--,--,71
Patrick Reed,T42,E,E,F,71,--,--,--,71
Doc Redman,T42,E,E,F,71,--,--,--,71
Bubba Watson,T54,+1,+1,F,72,--,--,--,72
Mikko Korhonen,T54,+1,+1,F,72,--,--,--,72
Curtis Knipes (a),T54,+1,+1,F,72,--,--,--,72
Connor Syme,T54,+1,+1,F,72,--,--,--,72
Corey Conners,T54,+1,+1,F,72,--,--,--,72
Paul Casey,T54,+1,+1,F,72,--,--,--,72
Inn-choon Hwang,T54,+1,+1,F,72,--,--,--,72
Thomas Pieters,T54,+1,+1,F,72,--,--,--,72
Thorbjorn Olesen,T54,+1,+1,F,72,--,--,--,72
Aaron Wise,T54,+1,+1,F,72,--,--,--,72
Brandon Stone,T54,+1,+1,F,72,--,--,--,72
Nino Bertasio,T54,+1,+1,F,72,--,--,--,72
Lucas Glover,T54,+1,+1,F,72,--,--,--,72
Abraham Ancer,T54,+1,+1,F,72,--,--,--,72
Brian Harman,T54,+1,+1,F,72,--,--,--,72
Dustin Johnson,T54,+1,+1,F,72,--,--,--,72
Gunn Charoenkul,T54,+1,+1,F,72,--,--,--,72
Yosuke Asaji,T54,+1,+1,F,72,--,--,--,72
Emiliano Grillo,T72,+2,+2,F,73,--,--,--,73
Alexander Levy,T72,+2,+2,F,73,--,--,--,73
